tau,asset,step,layer,unit,lam,n,e,k,cap,num_arcs,barrier_affinity,barrier_max_load,lp_affinity,lp_max_load,affinity_diff,max_load_diff,arc_growths,dump_path
0.5,standing_climbmix_small_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4689.590761653658,2071,4686.280883259358,2048,3.3098783942996306,23,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
0.2,standing_climbmix_small_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4687.617358298374,2057,4686.280883259358,2048,1.3364750390155677,9,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
0.1,standing_climbmix_small_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4686.946331693563,2053,4686.280883259358,2048,0.6654484342043361,5,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
0.05,standing_climbmix_small_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4686.612162090138,2050,4686.280883259358,2048,0.3312788307794108,2,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
0.02,standing_climbmix_small_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4686.418637319599,2049,4686.280883259358,2048,0.13775406024069525,1,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
0.01,standing_climbmix_small_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4686.280883259358,2048,4686.280883259358,2048,0.0,0,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
0.5,standing_climbmix_small_16x2048,75,2,u0,1.0,16384,64,8,2048,4962,6175.793836343763,2180,6127.875535073139,2048,47.9183012706244,132,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
0.2,standing_climbmix_small_16x2048,75,2,u0,1.0,16384,64,8,2048,4442,6147.763931011924,2103,6127.875535073139,2048,19.888395938784925,55,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
0.1,standing_climbmix_small_16x2048,75,2,u0,1.0,16384,64,8,2048,4270,6137.901627469282,2076,6127.875535073139,2048,10.026092396143213,28,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
0.05,standing_climbmix_small_16x2048,75,2,u0,1.0,16384,64,8,2048,4184,6133.018523854556,2062,6127.875535073139,2048,5.1429887814174435,14,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
0.02,standing_climbmix_small_16x2048,75,2,u0,1.0,16384,64,8,2048,4132,6129.896642081046,2054,6127.875535073139,2048,2.0211070079067213,6,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
0.01,standing_climbmix_small_16x2048,75,2,u0,1.0,16384,64,8,2048,4114,6128.992385293794,2051,6127.875535073139,2048,1.116850220654669,3,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
0.5,standing_climbmix_small_spread_off1_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4713.698513869391,2077,4710.517259508475,2048,3.181254360915773,29,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_spread_off1_16x2048/iter_0000000.npz
