run,layer,segments,segment_index,step_lo,step_hi,n_diffs,lag1_autocorr,kappa_decay_rate
artifacts/exp1/alflb/20260819-195028,2,2,0,0,250,10,0.281288429912209,-8.793888975502042e-05
artifacts/exp1/alflb/20260819-195028,2,2,1,250,500,10,-0.4178894245019254,-8.793888975502042e-05
artifacts/exp1/alflb/20260819-195028,3,2,0,0,250,10,0.358560980993318,-0.000931164099988146
artifacts/exp1/alflb/20260819-195028,3,2,1,250,500,10,-0.32135834581414136,-0.000931164099988146
artifacts/exp1/alflb/20260819-195028,4,2,0,0,250,10,0.4013882638853814,-0.0012841438633689763
artifacts/exp1/alflb/20260819-195028,4,2,1,250,500,10,-0.28884014420007886,-0.0012841438633689763
artifacts/exp1/alflb/20260819-195028,5,2,0,0,250,10,0.435660757770704,-0.0006762080191482934
artifacts/exp1/alflb/20260819-195028,5,2,1,250,500,10,-0.38945613912897703,-0.0006762080191482934
artifacts/exp1/alflb/20260819-195028,6,2,0,0,250,10,0.42739772686324695,-0.0005041040810998872
artifacts/exp1/alflb/20260819-195028,6,2,1,250,500,10,-0.2961465543150231,-0.0005041040810998872
artifacts/exp1/alflb/20260819-195028,7,2,0,0,250,10,0.4360726422411715,-5.872450137300884e-06
artifacts/exp1/alflb/20260819-195028,7,2,1,250,500,10,-0.33084981399273716,-5.872450137300884e-06
artifacts/exp1/alflb/20260819-195028,8,2,0,0,250,10,0.5362559229983476,-3.2675505028536705e-05
artifacts/exp1/alflb/20260819-195028,8,2,1,250,500,10,-0.35141570351257745,-3.2675505028536705e-05
artifacts/exp1/alflb/20260819-195028,9,2,0,0,250,10,0.5374806032298133,-0.00029156251640087067
artifacts/exp1/alflb/20260819-195028,9,2,1,250,500,10,-0.3690106494311399,-0.00029156251640087067
artifacts/exp1/alflb/20260824-232033,2,2,0,0,250,10,0.29630311139872045,-8.793888975502042e-05
artifacts/exp1/alflb/20260824-232033,2,2,1,250,500,10,-0.4331955426161235,-8.793888975502042e-05
artifacts/exp1/alflb/20260824-232033,3,2,0,0,250,10,0.38671922648031104,-0.000931164099988146
artifacts/exp1/alflb/20260824-232033,3,2,1,250,500,10,-0.30893317342908155,-0.000931164099988146
artifacts/exp1/alflb/20260824-232033,4,2,0,0,250,10,0.44977137062721195,-0.0012841438633689763
artifacts/exp1/alflb/20260824-232033,4,2,1,250,500,10,-0.3288532008593422,-0.0012841438633689763
artifacts/exp1/alflb/20260824-232033,5,2,0,0,250,10,0.4572131213672832,-0.0006762080191482934
artifacts/exp1/alflb/20260824-232033,5,2,1,250,500,10,-0.37412721990151476,-0.0006762080191482934
artifacts/exp1/alflb/20260824-232033,6,2,0,0,250,10,0.43139614518560154,-0.0005041040810998872
artifacts/exp1/alflb/20260824-232033,6,2,1,250,500,10,-0.375804333415329,-0.0005041040810998872
artifacts/exp1/alflb/20260824-232033,7,2,0,0,250,10,0.45563058110967336,-5.872450137300884e-06
artifacts/exp1/alflb/20260824-232033,7,2,1,250,500,10,-0.32510673798841105,-5.872450137300884e-06
artifacts/exp1/alflb/20260824-232033,8,2,0,0,250,10,0.5277735595964179,-3.2675505028536705e-05
artifacts/exp1/alflb/20260824-232033,8,2,1,250,500,10,-0.37161250017893227,-3.2675505028536705e-05
artifacts/exp1/alflb/20260824-232033,9,2,0,0,250,10,0.5554121510309987,-0.00029156251640087067
artifacts/exp1/alflb/20260824-232033,9,2,1,250,500,10,-0.3589204065928352,-0.00029156251640087067
