unit,run,asset,half,layer,corr_bias_price,linf,price_spread
a/strided/h1,a,strided,h1,2,0.43026145547679134,0.07877232689861557,0.10405318206176162
a/strided/h1,a,strided,h1,3,0.3356416049975243,0.06462694892979925,0.07892497116699815
a/strided/h1,a,strided,h1,4,0.132946682229944,0.13807575778810133,0.14828952692914754
a/strided/h1,a,strided,h1,5,-0.08283406357140478,0.2633946217229095,0.2760228016413748
a/strided/h1,a,strided,h1,6,0.36862008626920073,0.07659593768039485,0.10194012429565191
a/strided/h1,a,strided,h1,7,0.013197023967585741,0.092230900812865,0.10065226256847382
a/strided/h1,a,strided,h1,8,-0.06664172934134092,0.3169626457383856,0.3315977421589196
a/strided/h1,a,strided,h1,9,-0.016764540785510432,0.05812962331856397,0.07077480247244239
a/strided/h2,a,strided,h2,2,0.9105509929986891,0.08241367246591835,0.13857566704973578
a/strided/h2,a,strided,h2,3,0.6712540375992276,0.04973626491118921,0.07580205705016851
a/strided/h2,a,strided,h2,4,0.5866386514546053,0.0290135682298569,0.048563024029135704
a/strided/h2,a,strided,h2,5,0.6654499802634619,0.022325227768305922,0.038667880930006504
a/strided/h2,a,strided,h2,6,0.680415085715689,0.02948189709422877,0.046601991867646575
a/strided/h2,a,strided,h2,7,0.7831910716516585,0.02437833885778673,0.04502700129523873
a/strided/h2,a,strided,h2,8,0.718414473874371,0.016397604951635003,0.04012884292751551
a/strided/h2,a,strided,h2,9,0.6396847998924703,0.05141206482949201,0.07308074994944036
a/tail/h1,a,tail,h1,2,0.870967017811821,0.10392749486345565,0.16090412624180317
a/tail/h1,a,tail,h1,3,0.5627567877513585,0.017121683766163187,0.03624908905476332
a/tail/h1,a,tail,h1,4,0.3668968309650448,0.02634283886072808,0.03609364083968103
a/tail/h1,a,tail,h1,5,0.7286946885642548,0.02711347440708778,0.04635769734159112
a/tail/h1,a,tail,h1,6,0.6771761574618451,0.02049329603323713,0.03915093280375004
a/tail/h1,a,tail,h1,7,0.8019577136523675,0.04082529250445077,0.06316166510805488
a/tail/h1,a,tail,h1,8,0.8047353277655985,0.028377963444654597,0.05873179156333208
a/tail/h1,a,tail,h1,9,0.7989108044042832,0.04712943980121054,0.08315020590089262
b/strided/h1,b,strided,h1,2,0.45607058670018497,0.05862637559766881,0.0790759976953268
b/strided/h1,b,strided,h1,3,0.32100534698950595,0.06439204718481051,0.07906690728850663
b/strided/h1,b,strided,h1,4,0.11653856071791141,0.13402020221110433,0.14488604106009007
b/strided/h1,b,strided,h1,5,-0.20305965315117958,0.3149249509224319,0.3232254162430763
b/strided/h1,b,strided,h1,6,0.2616459309634641,0.06670048173327814,0.08241318538784981
b/strided/h1,b,strided,h1,7,0.09145185478508937,0.09826187365251826,0.10662620514631271
b/strided/h1,b,strided,h1,8,-0.06176900517116752,0.3740301744219323,0.3904901100322604
b/strided/h1,b,strided,h1,9,-0.10036270103790164,0.06086226001934847,0.06995054893195629
b/strided/h2,b,strided,h2,2,0.8363953131269968,0.07942106929112924,0.12437054235488176
b/strided/h2,b,strided,h2,3,0.6566636199156318,0.03516106812094222,0.05525817349553108
b/strided/h2,b,strided,h2,4,0.7226869941835933,0.018741031395620666,0.04689524695277214
b/strided/h2,b,strided,h2,5,0.7015160435004939,0.020763914260896854,0.040435008239001036
b/strided/h2,b,strided,h2,6,0.688009073187883,0.02277685327862855,0.037305425852537155
b/strided/h2,b,strided,h2,7,0.7220579515492285,0.04461966246162774,0.06582602579146624
b/strided/h2,b,strided,h2,8,0.7342596585515149,0.017902474390211864,0.039304289035499096
b/strided/h2,b,strided,h2,9,0.7055914755999567,0.04473358762697899,0.072792082792148
b/tail/h1,b,tail,h1,2,0.7560034869438705,0.08289350856102828,0.12763832276687026
b/tail/h1,b,tail,h1,3,0.5581238347505694,0.01778620112600038,0.034677582792937756
b/tail/h1,b,tail,h1,4,0.5176766443691438,0.023478695813537342,0.03710708278231323
b/tail/h1,b,tail,h1,5,0.7739531155948941,0.02659798892273102,0.04184221941977739
b/tail/h1,b,tail,h1,6,0.7262527741116618,0.026674501117668115,0.04698984045535326
b/tail/h1,b,tail,h1,7,0.7434354864798058,0.02581885406107176,0.04667772678658366
b/tail/h1,b,tail,h1,8,0.7781681654152942,0.03131262405804591,0.06046825903467834
b/tail/h1,b,tail,h1,9,0.8107727605997845,0.05285249479493359,0.09216451412066817
