step,layer,half,corr,linf,spread
25,2,first8,0.6948999841040137,0.11518260324373841,0.2496148720383644
25,2,second8,0.6626155309612043,0.09440823108889163,0.20797213166952133
25,3,first8,0.7220072587257406,0.13739607122261077,0.26339124143123627
25,3,second8,0.6720314123707049,0.12466426135506481,0.24163829535245895
25,4,first8,0.6070067539183972,0.1536995795322582,0.2828780859708786
25,4,second8,0.6219121319845332,0.11532246612478048,0.23839088529348373
25,5,first8,0.5552755429867496,0.22770221740938723,0.32770051062107086
25,5,second8,0.697444512555208,0.13097395037766546,0.2563687488436699
25,6,first8,0.6780949933891078,0.17156709148548543,0.34674088656902313
25,6,second8,0.6748861043065267,0.185032753739506,0.35826319456100464
25,7,first8,0.6807659861406209,0.16311483981553465,0.3186894729733467
25,7,second8,0.6964357060885391,0.1979629701236263,0.3409735783934593
25,8,first8,0.8489623079158692,0.22967114369384944,0.42733730375766754
25,8,second8,0.8554070063028276,0.26360166794620454,0.45891519635915756
25,9,first8,0.8205140629464103,0.22253121907124296,0.4273333065211773
25,9,second8,0.8312486445856123,0.2189567149616778,0.41956913471221924
100,2,first8,0.8956305816303513,0.03392550168427988,0.10185328684747219
100,2,second8,0.9132054669823042,0.03351783084508497,0.08336422545835376
100,3,first8,0.9654225647176875,0.030273989994384465,0.11319950391771272
100,3,second8,0.9690735631932418,0.02692394452787994,0.12259622407145798
100,4,first8,0.8083725714490281,0.10827794022770831,0.19927848782390356
100,4,second8,0.9744213169036311,0.023930765524710296,0.10854119155555964
100,5,first8,0.6328225131448622,0.24504890220305242,0.3192681069485843
100,5,second8,0.9344806425443811,0.06088114638441766,0.18424373271409422
100,6,first8,0.8411426218487051,0.060928766324650496,0.12793172779493034
100,6,second8,0.94815555057563,0.030082333285463392,0.1377499266527593
100,7,first8,0.8647938198826366,0.05601279481743404,0.12652471696492285
100,7,second8,0.9296712947154476,0.032665256378095364,0.13827874790877104
100,8,first8,0.7997705220938117,0.0946528538952407,0.1338954884558916
100,8,second8,0.9285092676979433,0.04606122388577205,0.1737153778085485
100,9,first8,0.8539325547887087,0.07755500050188857,0.13024668325670063
100,9,second8,0.929573827016872,0.03468530910140544,0.16089140612166375
200,2,first8,0.6910231339800541,0.027274370866507525,0.047708352794870734
200,2,second8,0.90116205294316,0.018445386034727562,0.06830065546091646
200,3,first8,0.7392900366143289,0.029622865546116373,0.049987188540399075
200,3,second8,0.9118235753528541,0.028709087911920506,0.06545121921226382
200,4,first8,0.40488842593187224,0.16887503007455962,0.20550922490656376
200,4,second8,0.8939757198151468,0.021190964835113846,0.043935575522482395
200,5,first8,0.1350267432988051,0.3568179581361619,0.37639733776450157
200,5,second8,0.8738715829099815,0.023960426849953365,0.07043954869732261
200,6,first8,0.4654899831495464,0.06826781945892435,0.09466698160395026
200,6,second8,0.8400802218886169,0.03466296921396861,0.06911308038979769
200,7,first8,0.3844294974368204,0.0631657407466264,0.08949907636269927
200,7,second8,0.8263300066464135,0.025932093245501164,0.054239366203546524
200,8,first8,0.2270670993874002,0.2592748616625613,0.2828694006893784
200,8,second8,0.8458651519383777,0.03192917220076197,0.051711009349673986
200,9,first8,0.28286829318181245,0.06744745374362537,0.08704554825089872
200,9,second8,0.8311444698570252,0.018193790532677667,0.04720269481185824
350,2,first8,0.5239298125794815,0.05034547698596725,0.07186403428204358
350,2,second8,0.8348044787497061,0.04650050700547581,0.09115859842859209
350,3,first8,0.274688411378663,0.05703012006051722,0.07109020976349711
350,3,second8,0.71332633978586,0.026689934595196974,0.052909097634255886
350,4,first8,0.28179960407958166,0.13059818516558153,0.14702650159597397
350,4,second8,0.7198936950308424,0.017393087313394062,0.03416905738413334
350,5,first8,-0.07882366601282682,0.37646718147880165,0.38822614308446646
350,5,second8,0.6794573379459999,0.024973268060421105,0.047902220860123634
350,6,first8,0.3192314095386578,0.07845957014797023,0.09644201374612749
350,6,second8,0.7267161769275479,0.02803071145899594,0.044316588900983334
350,7,first8,0.11675561432442846,0.11013896052099881,0.11656678561121225
350,7,second8,0.6915732572212625,0.03693107794242678,0.05898613855242729
350,8,first8,0.053232818640014334,0.3534066744396114,0.3732600072398782
350,8,second8,0.7666771298080105,0.02548897435917752,0.0467638922855258
350,9,first8,0.06847002576418153,0.06973392256622901,0.08485907455906272
350,9,second8,0.7538193807002666,0.03426591117022326,0.0628181453794241
500,2,first8,0.45607058670018497,0.05862637559766881,0.0790759976953268
500,2,second8,0.8363953131269968,0.07942106929112924,0.12437054235488176
500,3,first8,0.32090352346454976,0.06439513571967836,0.0790730060543865
500,3,second8,0.6566518912098193,0.03514509255910525,0.05524365697056055
500,4,first8,0.1165730246538825,0.13399227852460172,0.14485719241201878
500,4,second8,0.7227662442438672,0.018734879351541167,0.0468903467990458
500,5,first8,-0.20307884433837028,0.31498546200600686,0.32328660087659955
500,5,second8,0.7018070832882785,0.02079542372666765,0.04046261589974165
500,6,first8,0.26143082784510463,0.06681624978227774,0.08251451142132282
500,6,second8,0.6881429549450914,0.022764481444028206,0.037279353477060795
500,7,first8,0.09134402866144657,0.09831017910437367,0.10668515542056412
500,7,second8,0.7220420098503214,0.044637743645580485,0.06585135916247964
500,8,first8,-0.0618111921290214,0.37410513567556336,0.3905749646946788
500,8,second8,0.7342074131685521,0.017857200276921503,0.03932848013937473
500,9,first8,-0.10040813424173618,0.060776661539421184,0.06998118804767728
500,9,second8,0.705399183103034,0.045007348564467975,0.07306742272339761
