step,layer,bias_update_rate,dual_spread_over_eta,dual_correlation,dual_linf
0,2,0.001,210.73031425476074,nan,0.12955243606120348
0,3,0.001,214.84237909317017,nan,0.11021312512457371
0,4,0.001,293.0775284767151,nan,0.16055953223258257
0,5,0.001,375.31328201293945,nan,0.20181997818872333
0,6,0.001,343.0456221103668,nan,0.18580061895772815
0,7,0.001,360.92445254325867,nan,0.18961388990283012
0,8,0.001,324.99438524246216,nan,0.168573004193604
0,9,0.001,429.70404028892517,nan,0.21545254439115524
25,2,0.001,212.0025008916855,0.5411790224031159,0.10148817393928766
25,3,0.001,277.6845097541809,0.4769632672221754,0.15999802586156875
25,4,0.001,252.91594117879868,0.6071876255416276,0.13089937751647085
25,5,0.001,260.593943297863,0.772133432614197,0.12092645769007504
25,6,0.001,310.492679476738,0.6523019720491783,0.1472336380975321
25,7,0.001,333.6455523967743,0.7055258861997258,0.1916864380473271
25,8,0.001,479.0683686733246,0.8471642146749749,0.29199997684918344
25,9,0.001,432.8669086098671,0.8512236736468037,0.2466089400695637
50,2,0.001,206.48082718253136,0.8644553898437137,0.09232827583764447
50,3,0.001,530.2938241511583,0.7111704801824554,0.41029838235408533
50,4,0.001,338.78922928124666,0.8000069453460942,0.21496063262748066
50,5,0.001,263.3091602474451,0.833840770033905,0.17021603637113003
50,6,0.001,333.4858287125826,0.7992351919963193,0.20738345412246417
50,7,0.001,276.8820421770215,0.8570099432782222,0.15635103461681865
50,8,0.001,421.60357255488634,0.7821852559365373,0.3022895578542375
50,9,0.001,216.55763359740376,0.8891178172549793,0.1251990308810491
75,2,0.001,118.82276320829988,0.8946419497711983,0.03988404087795061
75,3,0.001,204.82020638883114,0.9148613501173561,0.08686418635988957
75,4,0.001,169.58342073485255,0.93489337018901,0.04707469079403381
75,5,0.001,200.32296210411005,0.9000480622000292,0.09899735478575167
75,6,0.001,192.01997184427455,0.903661213465776,0.06381059517934773
75,7,0.001,184.16310858447105,0.8949854449396221,0.09814149204248679
75,8,0.001,241.29554140381515,0.8285138513966652,0.13519285468737507
75,9,0.001,173.42311621177942,0.8836890460887439,0.06736394801600909
100,2,0.001,105.69301166106015,0.8394538620614674,0.063447296153754
100,3,0.001,120.23692717775702,0.9706949723030417,0.02480015905439359
100,4,0.001,99.5993799297139,0.9469479111992727,0.027465501658298308
100,5,0.001,143.89139573904686,0.9400595356170873,0.030853489503442688
100,6,0.001,146.25526079908013,0.9399784663018179,0.035606071667643846
100,7,0.001,161.19821358006448,0.9012806846438126,0.0571522175841892
100,8,0.001,155.37946647964418,0.8873028948705464,0.04482000842108391
100,9,0.001,125.54094131337479,0.8718047712684742,0.04330187134564767
125,2,0.001,127.87952506914735,0.8703315733617966,0.05916005661856616
125,3,0.001,100.27222451753914,0.9432437975956551,0.02482906412660668
125,4,0.001,85.21038270555437,0.9173904592474242,0.031610452624590835
125,5,0.001,129.68801020178944,0.8878445486511161,0.06115047082585079
125,6,0.001,126.18950300384313,0.9414441852529254,0.02548118909362529
125,7,0.001,131.93371699890122,0.9305542195692363,0.03328752461220574
125,8,0.001,132.65059795230627,0.8868480928321896,0.029821194039868715
125,9,0.001,81.68576064053923,0.859422666574217,0.026055779842863558
150,2,0.001,150.69277863949537,0.9090656505938299,0.06566148786077974
150,3,0.001,97.10663021542132,0.9496018058166078,0.019195997643691953
150,4,0.001,78.80114833824337,0.9233932011861959,0.023543558290839428
150,5,0.001,102.86909015849233,0.9190294508291701,0.026582156599033624
150,6,0.001,98.83232542779297,0.925303116893846,0.025298905889940215
150,7,0.001,124.35687938705087,0.9141479721510554,0.04295009372617642
150,8,0.001,88.88572454452515,0.9207705394218445,0.01813983204192482
150,9,0.001,83.30520906019956,0.836768486320696,0.0385573150615528
175,2,0.001,114.17531641200185,0.9124406465197528,0.04031074153681402
175,3,0.001,59.827134711667895,0.9443054598478821,0.012540060146420728
175,4,0.001,55.14359939843416,0.8995333403019,0.020279629385186126
175,5,0.001,72.26996344979852,0.8816757581971706,0.024272132990518003
175,6,0.001,59.76208811625838,0.9132394300698445,0.021731618922785856
175,7,0.001,89.04491038993001,0.9211164645283155,0.036260805012716446
175,8,0.001,57.356149423867464,0.8818648163079932,0.019353037052496802
175,9,0.001,76.07660765643232,0.8442093482777074,0.03009323935748398
200,2,0.001,108.5133810993284,0.9064280429424746,0.03607408863172168
