dump,step,part,layer,tokens,balanced_load,max_load_over_balanced,min_load_over_balanced,argmax_expert,dead_experts
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,2,16384,2048.0,2.12890625,0.39697265625,19,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,3,16384,2048.0,3.79443359375,0.34375,30,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,4,16384,2048.0,4.44189453125,0.36865234375,33,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,5,16384,2048.0,4.5361328125,0.4111328125,62,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,6,16384,2048.0,2.7265625,0.3056640625,21,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,7,16384,2048.0,2.85693359375,0.3876953125,5,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,8,16384,2048.0,4.294921875,0.3701171875,18,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h1,9,16384,2048.0,2.7861328125,0.2333984375,7,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,2,16384,2048.0,1.66259765625,0.2041015625,2,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,3,16384,2048.0,2.1806640625,0.3759765625,26,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,4,16384,2048.0,2.12841796875,0.32763671875,3,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,5,16384,2048.0,1.951171875,0.4482421875,35,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,6,16384,2048.0,2.5595703125,0.310546875,5,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,7,16384,2048.0,2.13427734375,0.4814453125,29,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,8,16384,2048.0,2.15087890625,0.3203125,17,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000000.npz,0,h2,9,16384,2048.0,2.69970703125,0.26708984375,44,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,2,16384,2048.0,2.12890625,0.39697265625,19,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,3,16384,2048.0,3.79443359375,0.34375,30,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,4,16384,2048.0,4.4423828125,0.36767578125,33,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,5,16384,2048.0,4.5361328125,0.4130859375,62,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,6,16384,2048.0,2.7265625,0.306640625,21,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,7,16384,2048.0,2.85693359375,0.38818359375,5,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,8,16384,2048.0,4.29541015625,0.36962890625,18,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h1,9,16384,2048.0,2.7861328125,0.232421875,7,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,2,16384,2048.0,1.66259765625,0.2041015625,2,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,3,16384,2048.0,2.1806640625,0.37646484375,26,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,4,16384,2048.0,2.1279296875,0.32763671875,3,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,5,16384,2048.0,1.951171875,0.4482421875,35,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,6,16384,2048.0,2.560546875,0.310546875,5,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,7,16384,2048.0,2.1328125,0.4814453125,29,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,8,16384,2048.0,2.1474609375,0.31982421875,17,0
artifacts/exp1/crossprobe/a_strided_off1912/probes/iter_0000001.npz,1,h2,9,16384,2048.0,2.69873046875,0.265625,44,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,2,16384,2048.0,3.11962890625,0.3955078125,19,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,3,16384,2048.0,4.0791015625,0.30810546875,30,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,4,16384,2048.0,4.46484375,0.49169921875,33,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,5,16384,2048.0,4.9375,0.4833984375,62,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,6,16384,2048.0,2.9169921875,0.3623046875,37,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,7,16384,2048.0,3.0419921875,0.390625,5,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,8,16384,2048.0,4.5107421875,0.39404296875,18,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h1,9,16384,2048.0,3.234375,0.341796875,7,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,2,16384,2048.0,1.625,0.37841796875,44,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,3,16384,2048.0,1.7001953125,0.47509765625,30,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,4,16384,2048.0,1.73583984375,0.4013671875,33,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,5,16384,2048.0,2.08935546875,0.38671875,39,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,6,16384,2048.0,2.71240234375,0.2353515625,5,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,7,16384,2048.0,2.4599609375,0.44580078125,16,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,8,16384,2048.0,2.171875,0.3564453125,17,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000000.npz,0,h2,9,16384,2048.0,1.97705078125,0.28125,5,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,2,16384,2048.0,3.11962890625,0.3955078125,19,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,3,16384,2048.0,4.0791015625,0.30810546875,30,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,4,16384,2048.0,4.46435546875,0.49169921875,33,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,5,16384,2048.0,4.93603515625,0.484375,62,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,6,16384,2048.0,2.91845703125,0.361328125,37,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,7,16384,2048.0,3.0439453125,0.390625,5,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,8,16384,2048.0,4.509765625,0.39453125,18,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h1,9,16384,2048.0,3.23388671875,0.34130859375,7,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,2,16384,2048.0,1.625,0.37841796875,44,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,3,16384,2048.0,1.7001953125,0.47509765625,30,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,4,16384,2048.0,1.73583984375,0.4013671875,33,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,5,16384,2048.0,2.087890625,0.38720703125,39,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,6,16384,2048.0,2.7109375,0.2353515625,5,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,7,16384,2048.0,2.4599609375,0.4482421875,16,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,8,16384,2048.0,2.17236328125,0.35791015625,17,0
artifacts/exp1/crossprobe/b_strided_off1912/probes/iter_0000001.npz,1,h2,9,16384,2048.0,1.9765625,0.28125,5,0
