dump,step,part,layer,tokens,balanced_load,max_load_over_balanced,min_load_over_balanced,argmax_expert,dead_experts
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,2,16384,2048.0,2.125,0.248046875,19,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,3,16384,2048.0,3.423828125,0.34228515625,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,4,16384,2048.0,3.73828125,0.39892578125,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,5,16384,2048.0,3.966796875,0.3837890625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,6,16384,2048.0,2.541015625,0.41162109375,22,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,7,16384,2048.0,2.73291015625,0.4453125,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,8,16384,2048.0,4.35400390625,0.3125,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h1,9,16384,2048.0,2.65185546875,0.34033203125,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,2,16384,2048.0,1.6318359375,0.2490234375,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,3,16384,2048.0,2.10791015625,0.33935546875,26,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,4,16384,2048.0,1.93310546875,0.24609375,48,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,5,16384,2048.0,2.01953125,0.1640625,35,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,6,16384,2048.0,2.24658203125,0.14208984375,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,7,16384,2048.0,2.21142578125,0.2392578125,16,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,8,16384,2048.0,2.08984375,0.16796875,2,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,h2,9,16384,2048.0,2.73095703125,0.0888671875,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,2,16384,2048.0,2.125,0.248046875,19,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,3,16384,2048.0,3.42431640625,0.34228515625,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,4,16384,2048.0,3.7373046875,0.3994140625,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,5,16384,2048.0,3.9658203125,0.3837890625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,6,16384,2048.0,2.53857421875,0.412109375,22,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,7,16384,2048.0,2.7333984375,0.4443359375,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,8,16384,2048.0,4.353515625,0.31201171875,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h1,9,16384,2048.0,2.65185546875,0.33837890625,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,2,16384,2048.0,1.6318359375,0.2490234375,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,3,16384,2048.0,2.10791015625,0.33935546875,26,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,4,16384,2048.0,1.93310546875,0.24609375,48,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,5,16384,2048.0,2.01953125,0.1640625,35,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,6,16384,2048.0,2.2470703125,0.142578125,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,7,16384,2048.0,2.21337890625,0.240234375,16,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,8,16384,2048.0,2.0888671875,0.16796875,2,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,h2,9,16384,2048.0,2.7314453125,0.0888671875,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,2,16384,2048.0,2.875,0.41162109375,19,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,3,16384,2048.0,3.548828125,0.361328125,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,4,16384,2048.0,3.8583984375,0.40380859375,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,5,16384,2048.0,4.3974609375,0.375,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,6,16384,2048.0,2.57470703125,0.35986328125,53,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,7,16384,2048.0,2.91845703125,0.40966796875,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,8,16384,2048.0,4.42626953125,0.38525390625,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,9,16384,2048.0,2.93310546875,0.34326171875,28,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,2,16384,2048.0,1.68994140625,0.36669921875,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,3,16384,2048.0,1.88916015625,0.33056640625,60,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,4,16384,2048.0,1.83935546875,0.2705078125,48,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,5,16384,2048.0,1.98876953125,0.1455078125,39,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,6,16384,2048.0,2.05712890625,0.16552734375,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,7,16384,2048.0,2.69287109375,0.173828125,16,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,8,16384,2048.0,2.05322265625,0.15087890625,2,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,9,16384,2048.0,2.16796875,0.13037109375,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,2,16384,2048.0,2.875,0.41162109375,19,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,3,16384,2048.0,3.548828125,0.361328125,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,4,16384,2048.0,3.859375,0.404296875,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,5,16384,2048.0,4.39697265625,0.3759765625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,6,16384,2048.0,2.57470703125,0.35986328125,53,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,7,16384,2048.0,2.9169921875,0.41015625,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,8,16384,2048.0,4.4248046875,0.388671875,18,0
