dump,step,part,layer,tokens,balanced_load,max_load_over_balanced,min_load_over_balanced,argmax_expert,dead_experts
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,2,8192,1024.0,1.611328125,0.310546875,31,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,3,8192,1024.0,1.623046875,0.306640625,61,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,4,8192,1024.0,1.986328125,0.25390625,55,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,5,8192,1024.0,1.8193359375,0.1943359375,14,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,6,8192,1024.0,1.7333984375,0.216796875,60,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,7,8192,1024.0,2.0361328125,0.197265625,7,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,8,8192,1024.0,2.3486328125,0.11328125,42,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h1,9,8192,1024.0,2.248046875,0.068359375,37,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,2,8192,1024.0,1.462890625,0.2998046875,29,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,3,8192,1024.0,1.56640625,0.375,41,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,4,8192,1024.0,1.74609375,0.326171875,19,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,5,8192,1024.0,1.8779296875,0.1650390625,19,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,6,8192,1024.0,1.7841796875,0.220703125,27,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,7,8192,1024.0,1.8798828125,0.2822265625,7,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,8,8192,1024.0,1.8740234375,0.1826171875,42,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,0,h2,9,8192,1024.0,1.9619140625,0.0712890625,40,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,2,8192,1024.0,1.611328125,0.310546875,31,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,3,8192,1024.0,1.623046875,0.306640625,61,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,4,8192,1024.0,1.986328125,0.2529296875,55,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,5,8192,1024.0,1.8203125,0.1943359375,14,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,6,8192,1024.0,1.7373046875,0.21875,60,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,7,8192,1024.0,2.037109375,0.19921875,7,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,8,8192,1024.0,2.345703125,0.1123046875,42,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h1,9,8192,1024.0,2.2490234375,0.0673828125,37,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,2,8192,1024.0,1.462890625,0.2998046875,29,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,3,8192,1024.0,1.56640625,0.375,41,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,4,8192,1024.0,1.7451171875,0.326171875,19,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,5,8192,1024.0,1.876953125,0.1640625,19,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,6,8192,1024.0,1.7841796875,0.220703125,27,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,7,8192,1024.0,1.8818359375,0.2822265625,7,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,8,8192,1024.0,1.8740234375,0.181640625,45,0
artifacts/exp1/crossprobe/a_tail/probes/iter_0000001.npz,1,h2,9,8192,1024.0,1.9609375,0.0712890625,40,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,2,8192,1024.0,1.6962890625,0.3310546875,31,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,3,8192,1024.0,1.7197265625,0.2333984375,60,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,4,8192,1024.0,2.0673828125,0.3427734375,55,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,5,8192,1024.0,1.9658203125,0.1669921875,14,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,6,8192,1024.0,2.1455078125,0.185546875,27,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,7,8192,1024.0,2.052734375,0.181640625,13,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,8,8192,1024.0,2.6201171875,0.1376953125,42,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h1,9,8192,1024.0,2.2978515625,0.0947265625,40,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,2,8192,1024.0,1.5517578125,0.4150390625,31,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,3,8192,1024.0,1.5703125,0.302734375,29,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,4,8192,1024.0,1.7451171875,0.3896484375,55,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,5,8192,1024.0,1.7529296875,0.162109375,14,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,6,8192,1024.0,1.9990234375,0.2265625,17,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,7,8192,1024.0,2.0888671875,0.2421875,52,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,8,8192,1024.0,2.2509765625,0.2177734375,42,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000000.npz,0,h2,9,8192,1024.0,2.1328125,0.115234375,40,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,2,8192,1024.0,1.6962890625,0.3310546875,31,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,3,8192,1024.0,1.7197265625,0.2333984375,60,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,4,8192,1024.0,2.0673828125,0.3427734375,55,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,5,8192,1024.0,1.9658203125,0.1669921875,14,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,6,8192,1024.0,2.1455078125,0.1845703125,27,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,7,8192,1024.0,2.0498046875,0.1806640625,13,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,8,8192,1024.0,2.6240234375,0.138671875,42,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h1,9,8192,1024.0,2.2998046875,0.0947265625,40,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,2,8192,1024.0,1.5517578125,0.4150390625,31,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,3,8192,1024.0,1.5703125,0.302734375,29,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,4,8192,1024.0,1.7451171875,0.3896484375,55,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,5,8192,1024.0,1.7529296875,0.162109375,14,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,6,8192,1024.0,1.998046875,0.2265625,17,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,7,8192,1024.0,2.0869140625,0.2421875,52,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,8,8192,1024.0,2.25390625,0.2177734375,42,0
artifacts/exp1/crossprobe/b_tail/probes/iter_0000001.npz,1,h2,9,8192,1024.0,2.134765625,0.1142578125,40,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,2,16384,2048.0,2.3046875,0.259765625,19,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,3,16384,2048.0,4.10009765625,0.31005859375,30,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,4,16384,2048.0,4.86328125,0.29443359375,33,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,5,16384,2048.0,5.08642578125,0.31298828125,62,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,6,16384,2048.0,3.115234375,0.2646484375,21,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,7,16384,2048.0,3.61279296875,0.25390625,5,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,8,16384,2048.0,5.1943359375,0.25732421875,18,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h1,9,16384,2048.0,3.2607421875,0.1162109375,28,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,2,16384,2048.0,1.58154296875,0.2646484375,31,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,3,16384,2048.0,1.69775390625,0.3310546875,26,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,4,16384,2048.0,2.10986328125,0.3408203125,3,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,5,16384,2048.0,1.8701171875,0.2734375,35,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,6,16384,2048.0,1.96044921875,0.3486328125,28,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,7,16384,2048.0,1.98876953125,0.37353515625,16,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,8,16384,2048.0,1.77490234375,0.40283203125,2,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,0,h2,9,16384,2048.0,2.3642578125,0.2353515625,44,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,2,16384,2048.0,2.3046875,0.259765625,19,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,3,16384,2048.0,4.10009765625,0.31005859375,30,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,4,16384,2048.0,4.86279296875,0.29443359375,33,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,5,16384,2048.0,5.0859375,0.3125,62,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,6,16384,2048.0,3.1171875,0.26513671875,21,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,7,16384,2048.0,3.615234375,0.25439453125,5,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,8,16384,2048.0,5.19482421875,0.2568359375,18,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h1,9,16384,2048.0,3.259765625,0.11669921875,28,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h2,2,16384,2048.0,1.58154296875,0.2646484375,31,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h2,3,16384,2048.0,1.69775390625,0.3310546875,26,0
artifacts/exp1/crossprobe/a_strided/probes/iter_0000001.npz,1,h2,4,16384,2048.0,2.10986328125,0.3408203125,3,0
