asset,layer,step,bundles,roundrobin_affinity,random_mean,random_sd,z_score,percentile,draws
standing_climbmix_small_16x2048,2,0,8,2041.1262,2047.6803,3.5108,-1.8668,3.75,400
standing_climbmix_small_16x2048,3,0,8,2051.8823,2047.7504,3.5125,1.1764,88.00,400
standing_climbmix_small_16x2048,4,0,8,2042.4725,2048.0279,3.4759,-1.5983,4.50,400
standing_climbmix_small_16x2048,5,0,8,2053.8067,2048.0275,3.1655,1.8257,97.00,400
standing_climbmix_small_16x2048,6,0,8,2049.5532,2048.1038,3.0867,0.4696,68.75,400
standing_climbmix_small_16x2048,7,0,8,2047.1538,2048.3368,3.2509,-0.3639,37.50,400
standing_climbmix_small_16x2048,8,0,8,2047.2354,2047.9737,3.3197,-0.2224,40.00,400
standing_climbmix_small_16x2048,9,0,8,2045.2719,2047.9261,3.1469,-0.8434,19.00,400
standing_climbmix_small_spread_off1_16x2048,2,0,8,2053.1172,2048.1598,3.5035,1.4150,92.50,400
standing_climbmix_small_spread_off1_16x2048,3,0,8,2053.6997,2048.2414,3.2977,1.6552,95.00,400
standing_climbmix_small_spread_off1_16x2048,4,0,8,2048.4493,2048.0591,3.3680,0.1159,56.50,400
standing_climbmix_small_spread_off1_16x2048,5,0,8,2047.6743,2047.8896,3.2392,-0.0665,46.00,400
standing_climbmix_small_spread_off1_16x2048,6,0,8,2047.9284,2047.8515,3.0782,0.0250,50.75,400
standing_climbmix_small_spread_off1_16x2048,7,0,8,2052.7154,2047.8058,3.1017,1.5829,95.25,400
standing_climbmix_small_spread_off1_16x2048,8,0,8,2048.0174,2048.1271,3.1825,-0.0345,48.00,400
standing_climbmix_small_spread_off1_16x2048,9,0,8,2043.2269,2047.9441,3.3900,-1.3915,8.50,400
standing_climbmix_small_strided_16x2048,2,0,8,2046.9662,2048.0493,3.3890,-0.3196,35.25,400
standing_climbmix_small_strided_16x2048,3,0,8,2043.0692,2048.0712,3.5085,-1.4257,6.75,400
standing_climbmix_small_strided_16x2048,4,0,8,2049.6970,2048.1061,3.1357,0.5073,67.00,400
standing_climbmix_small_strided_16x2048,5,0,8,2048.9632,2048.0398,3.2379,0.2852,60.00,400
standing_climbmix_small_strided_16x2048,6,0,8,2047.8613,2048.0475,3.1779,-0.0586,47.00,400
standing_climbmix_small_strided_16x2048,7,0,8,2047.4349,2047.8577,3.1655,-0.1336,43.00,400
standing_climbmix_small_strided_16x2048,8,0,8,2047.6694,2047.8576,3.1367,-0.0600,49.00,400
standing_climbmix_small_strided_16x2048,9,0,8,2048.6324,2047.9291,3.3952,0.2072,59.75,400
