run_id,arm,asset,unit,layer,step,cost_family,lam,status,detail,affinity_space,score_function,admissible,max_load_over_balanced,dead_experts,gap_per_token,affinity_shortfall,congestion_excess,gap_normalized,normalizer,arc_growths,arcs_used_max,max_fractional_deviation,token_sha256,dump_path
control-trunk,control,standing_climbmix_small_16x2048,u1,5,25,linear,1.0,ok,,score,softmax,False,6.7587890625,13,11.73716621340999,-0.06730146466007775,11.804467678070068,198.7405475677997,967.60189902821,0,2103,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000025.npz
control-trunk,control,standing_climbmix_small_16x2048,u0,6,25,linear,1.0,ok,,score,softmax,False,7.9912109375,13,16.517046484699755,-0.07435974145838795,16.591406226158142,351.87369857962534,769.0693868217131,0,2117,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000025.npz
control-trunk,control,standing_climbmix_small_16x2048,u1,6,0,linear,1.0,ok,,score,softmax,False,3.72021484375,1,3.448345356311261,-0.037556386862338365,3.4859017431735992,23.249976320895303,2430.0106605712062,0,2112,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
control-trunk,control,standing_climbmix_small_16x2048,u0,7,0,quadratic,1.0,ok,,score,softmax,False,5.3095703125,0,13.714094552415805,-0.03730995899179618,13.7514045114076,101.5778795616362,2212.0143294627487,0,2079,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
control-trunk,control,standing_climbmix_small_16x2048,u0,8,75,quadratic,1.0,ok,,score,softmax,False,6.6005859375,17,64.1693950481174,-0.24103984086399682,64.4104348889814,397.476188381862,2645.067551715336,0,2266,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000075.npz
control-trunk,control,standing_climbmix_small_16x2048,u1,7,25,linear,1.0,ok,,score,softmax,False,7.9951171875,19,17.360044761820998,-0.09950594671133323,17.459550708532333,397.71950519867494,715.1446425429749,0,2131,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000025.npz
control-trunk,control,standing_climbmix_small_16x2048,u0,8,25,linear,1.0,ok,,score,softmax,False,7.7158203125,38,18.760922308008293,-0.1496821093157711,18.910604417324066,510.87982045912787,601.6658689281685,0,2174,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000025.npz
control-trunk,control,standing_climbmix_small_16x2048,u0,7,0,linear,1.0,ok,,score,softmax,False,5.3095703125,0,4.1273176624275685,-0.036988113930082445,4.164305776357651,30.53375649053935,2214.6627324471337,0,2109,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
control-trunk,control,standing_climbmix_small_16x2048,u0,8,0,linear,1.0,ok,,score,softmax,False,4.23095703125,0,3.424341658247878,-0.03219651232821763,3.4565381705760956,24.40567773136622,2298.8262955151513,0,2120,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
control-trunk,control,standing_climbmix_small_16x2048,u1,9,0,linear,1.0,ok,,score,softmax,False,4.154296875,0,3.9747368777866106,-0.03932555664828041,4.014062434434891,27.73486470430418,2348.022595385133,0,2094,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_16x2048/iter_0000000.npz
