run_id,arm,asset,unit,layer,step,cost_family,lam,affinity_shortfall,congestion_excess,gap_normalized,normalizer,admissible
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,0.0,5.551115123125783e-17,0.0,3.235030225887834e-16,2811.3947575971197,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,0.125,-0.00868491759318274,0.1191844716668129,0.681230394161842,2657.580620973069,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,0.25,-0.009372950340280628,0.23939518630504608,1.4212861326395236,2651.6014105110226,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,0.5,-0.009749121969672814,0.47935374081134796,2.905105528965464,2648.4415104334985,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,1.0,-0.00994476925177723,0.9590006172657013,5.874732562798607,2646.815126926005,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,2.0,-0.010044930344513037,1.9181512594223022,11.815026842618938,2645.9875641451217,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,4.0,-0.010094417372048081,3.8363771438598633,23.696161813761144,2645.568370248482,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,linear,8.0,-0.010121340101373222,7.672795057296753,47.45873766687312,2645.3557838762645,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,0.0,5.551115123125783e-17,0.0,3.235030225887834e-16,2811.3947575971197,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,0.125,-0.009374530985576779,0.26113384812015283,1.555603385827869,2651.5914593087127,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,0.25,-0.009749664989387119,0.5228294544685923,3.1740591490551964,2648.4381279818153,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,0.5,-0.009944471306459313,1.045951003798109,6.412967108449745,2646.813985055105,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,1.0,-0.010044930344513037,2.0920527440903243,12.89182968335819,2645.9871762380935,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,2.0,-0.01009405992609419,4.184179792908253,25.850106818462894,2645.5682032360055,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,4.0,-0.010121340101373222,8.368401086831,51.76697193755225,2645.3557209337014,True
control-trunk,control,standing_climbmix_small_16x2048,u0,2,0,quadratic,8.0,-0.010134612825821288,16.736821253201924,103.60120385553206,2645.239859356021,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,0.0,0.0,0.0,0.0,2822.8128593291594,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,0.125,-0.00950060534860614,0.1281556449830532,0.7323564554015667,2654.505405164784,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,0.25,-0.010257645205910215,0.2574404254555702,1.5294243390566926,2647.9522838692774,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,0.5,-0.010667040774339498,0.5154931098222733,3.127677538760414,2644.476680469881,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,1.0,-0.010883997274583557,1.0313115119934082,6.326402505596327,2642.684272201128,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,2.0,-0.010992448593168502,2.062786042690277,12.725008776724096,2641.773128453686,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,4.0,-0.011049988241367437,4.125658750534058,25.522838219518025,2641.3108676075935,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,linear,8.0,-0.011076053392353069,8.251357316970825,51.118827375581866,2641.077175548824,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,0.0,0.0,0.0,0.0,2822.8128593291594,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,0.125,-0.010258706829863629,0.2804886008052563,1.6720317729499368,2647.944048982733,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,0.25,-0.010668565148394427,0.5615896762174089,3.413265926297065,2644.4735566053732,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,0.5,-0.010883997274583557,1.1235019128071144,6.8979633383072185,2642.6832144571054,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,1.0,-0.010992448593168502,2.2471669495716924,13.868521884829306,2641.772737447216,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,2.0,-0.01104963069875986,4.494420245493529,27.81026237779999,2641.310720298512,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,4.0,-0.011076053392353069,8.988881035300437,55.69407908049305,2641.077099254908,True
control-trunk,control,standing_climbmix_small_16x2048,u1,2,0,quadratic,8.0,-0.011092878347402468,17.977787350304425,111.46228860185502,2640.9499205603497,True
