run_id,arm,asset,unit,layer,step,cost_family,lam,status,detail,affinity_space,score_function,admissible,max_load_over_balanced,dead_experts,gap_per_token,affinity_shortfall,congestion_excess,gap_normalized,normalizer,arc_growths,arcs_used_max,max_fractional_deviation,token_sha256,dump_path
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,5,25,linear,1.0,ok,,score,softmax,False,6.14501953125,8,9.841312741791919,-0.05112236186294239,9.892435103654861,168.48656615242618,956.9906470504502,0,2086,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u1,7,25,linear,1.0,ok,,score,softmax,False,7.98974609375,18,16.286374907745433,-0.08064233158676642,16.3670172393322,366.3571040997681,728.3493714259603,0,2111,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,4,25,linear,1.0,ok,,score,softmax,False,6.76611328125,5,10.628865615361946,-0.0507231197416623,10.679588735103607,162.31286046095124,1072.886854113356,0,2095,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,8,25,linear,1.0,ok,,score,softmax,False,7.50732421875,35,18.836183954446426,-0.13953150394667038,18.975715458393097,511.89200570976914,602.8850508843971,0,2157,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,7,0,quadratic,1.0,ok,,score,softmax,False,5.31396484375,0,13.715860462447797,-0.037311847796030695,13.753172310243826,101.59345671340373,2211.9599537860413,0,2079,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000000.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u1,6,25,linear,1.0,ok,,score,softmax,False,7.8828125,8,12.705533391927991,-0.053351753259385765,12.758885145187378,270.1949461737627,770.4343180404103,0,2095,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,8,125,quadratic,1.0,ok,,score,softmax,False,5.23974609375,3,21.087957944703465,-0.08059318237361657,21.16855112707708,107.56375956429983,3212.0958245187066,0,2135,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000125.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u1,3,0,linear,1.0,ok,,score,softmax,True,2.5068359375,0,1.6228025145630451,-0.016384642591038445,1.6391871571540833,10.550167667561144,2520.1491802212477,0,2071,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000000.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u1,4,25,linear,1.0,ok,,score,softmax,False,6.89404296875,4,10.36668421116033,-0.05038391265711323,10.417068123817444,158.9949016523914,1068.259122465366,0,2099,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,2,0,quadratic,1.0,ok,,score,softmax,True,2.09375,0,2.082007813745811,-0.010044930344513037,2.0920527440903243,12.89182968335819,2645.9871762380935,0,2060,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000000.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,6,25,linear,1.0,ok,,score,softmax,False,7.884765625,14,12.654477866107019,-0.05275723177811273,12.707235097885132,269.5481402646176,769.1797285440698,0,2093,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u1,3,75,quadratic,1.0,ok,,score,softmax,False,4.73095703125,15,18.99928441557472,-0.10752406255437474,19.106808478129096,89.78048211880132,3467.170909740402,0,2139,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000075.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,8,75,quadratic,1.0,ok,,score,softmax,False,5.6630859375,14,36.070998105513596,-0.1442653240935543,36.21526342960715,252.60797053404949,2339.5430940334263,0,2186,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000075.npz
rosenthal-linear-hard-global,rosenthal_linear_hard_global,standing_climbmix_small_16x2048,u0,7,25,linear,1.0,ok,,score,softmax,False,7.99365234375,17,16.357992435531653,-0.08032861845012856,16.43832105398178,366.44611847109934,731.3745037932167,0,2110,0.0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/rosenthal_linear_hard_global/rosenthal-linear-hard-global/probes/standing_climbmix_small_16x2048/iter_0000025.npz
