unit,run,asset,half,layer,expert,price,bias
a/strided/h1,a,strided,h1,2,0,0.0164124165,0.00416958332
a/strided/h1,a,strided,h1,2,1,-0.0865961518,-0.00782382488
a/strided/h1,a,strided,h1,2,2,4.73670989e-05,-0.00382602215
a/strided/h1,a,strided,h1,2,3,0.00737286968,0.00217068195
a/strided/h1,a,strided,h1,2,4,-0.0038045542,-0.00482547283
a/strided/h1,a,strided,h1,2,5,0.0122303041,0.00616848469
a/strided/h1,a,strided,h1,2,6,0.000512982286,-0.000827670097
a/strided/h1,a,strided,h1,2,7,0.00327152762,-0.00382602215
a/strided/h1,a,strided,h1,2,8,0.00970472538,0.00716793537
a/strided/h1,a,strided,h1,2,9,0.00866275843,0.00217068195
a/strided/h1,a,strided,h1,2,10,0.0120751527,0.00416958332
a/strided/h1,a,strided,h1,2,11,-0.0448538852,-0.00582492352
a/strided/h1,a,strided,h1,2,12,0.0020268015,-0.00382602215
a/strided/h1,a,strided,h1,2,13,0.00578813631,0.005169034
a/strided/h1,a,strided,h1,2,14,-0.0158364279,0.000171780586
a/strided/h1,a,strided,h1,2,15,0.00505244735,0.00117123127
a/strided/h1,a,strided,h1,2,16,-0.00823862941,-0.0388067961
a/strided/h1,a,strided,h1,2,17,0.000556575633,0.000171780586
a/strided/h1,a,strided,h1,2,18,0.0122844698,0.00217068195
a/strided/h1,a,strided,h1,2,19,-0.0077966917,0.00616848469
a/strided/h1,a,strided,h1,2,20,0.0152926892,0.00716793537
a/strided/h1,a,strided,h1,2,21,-0.0151528725,-0.00882327557
a/strided/h1,a,strided,h1,2,22,-0.0278126881,0.00117123127
a/strided/h1,a,strided,h1,2,23,0.00266565246,0.000171780586
a/strided/h1,a,strided,h1,2,24,-0.00485224087,-0.00382602215
a/strided/h1,a,strided,h1,2,25,0.0123220645,0.00416958332
a/strided/h1,a,strided,h1,2,26,0.014261819,0.00716793537
a/strided/h1,a,strided,h1,2,27,-0.0148525801,-0.00282657146
a/strided/h1,a,strided,h1,2,28,-0.00498037689,0.00117123127
a/strided/h1,a,strided,h1,2,29,0.0120116719,0.00416958332
a/strided/h1,a,strided,h1,2,30,0.00932177532,-0.00182712078
a/strided/h1,a,strided,h1,2,31,-0.00391005209,-0.00282657146
a/strided/h1,a,strided,h1,2,32,0.00503740603,-0.000827670097
a/strided/h1,a,strided,h1,2,33,0.00739866126,-0.000827670097
a/strided/h1,a,strided,h1,2,34,0.0147205913,0.00317013264
a/strided/h1,a,strided,h1,2,35,0.0109926444,0.00117123127
