instrument,tokens,step,layer,run_of_instrument,corr_bias_own,corr_bias_other,other_run,spread
tail,16384,100,2,A,0.8394538620614674,0.7820212959875228,B,0.10569301166106015
strided,16384,100,2,B,0.8956305816303513,0.839107322700545,A,0.10185328684747219
tail,16384,100,3,A,0.9706949723030417,0.93564267148121,B,0.12023692717775702
strided,16384,100,3,B,0.9654225647176875,0.9383180575479897,A,0.11319950391771272
tail,16384,100,4,A,0.9469479111992727,0.8885334635021347,B,0.0995993799297139
strided,16384,100,4,B,0.8083725714490281,0.7879221624865204,A,0.19927848782390356
tail,16384,100,5,A,0.9400595356170873,0.9219160184656365,B,0.14389139573904686
strided,16384,100,5,B,0.6328225131448622,0.6187933416137227,A,0.3192681069485843
tail,16384,100,6,A,0.9399784663018179,0.8754917709272285,B,0.14625526079908013
strided,16384,100,6,B,0.8411426218487051,0.7773453057523019,A,0.12793172779493034
tail,16384,100,7,A,0.9012806846438126,0.8582631165853403,B,0.16119821358006448
strided,16384,100,7,B,0.8647938198826366,0.7882311019639879,A,0.12652471696492285
tail,16384,100,8,A,0.8873028948705464,0.89154225547238,B,0.15537946647964418
strided,16384,100,8,B,0.7997705220938117,0.7446646802024512,A,0.1338954884558916
tail,16384,100,9,A,0.8718047712684742,0.8093540091719422,B,0.1255409413133748
strided,16384,100,9,B,0.8539325547887087,0.8320014432054087,A,0.13024668325670063
tail,16384,200,2,A,0.9064280429424746,0.7970547832173658,B,0.1085133810993284
strided,16384,200,2,B,0.6910231339800541,0.5890023378197128,A,0.047708352794870734
tail,16384,200,3,A,0.9174568976059013,0.8533509690130013,B,0.06268378626555204
strided,16384,200,3,B,0.7392900366143289,0.7058371885379378,A,0.049987188540399075
tail,16384,200,4,A,0.869943096715633,0.7912947437596786,B,0.05391973163932562
strided,16384,200,4,B,0.40488842593187224,0.4567385459215304,A,0.20550922490656376
tail,16384,200,5,A,0.8365306368113706,0.7462668403863493,B,0.0738891577348113
strided,16384,200,5,B,0.1350267432988051,0.1835442103848253,A,0.37639733776450157
tail,16384,200,6,A,0.8814399981896804,0.7396887817602579,B,0.05751895671710372
strided,16384,200,6,B,0.4654899831495464,0.35948188390728536,A,0.09466698160395026
tail,16384,200,7,A,0.902244788353184,0.7576544285113186,B,0.0896643060259521
strided,16384,200,7,B,0.3844294974368204,0.37617943424650724,A,0.08949907636269927
tail,16384,200,8,A,0.8240075200541915,0.7771895105100582,B,0.05819485802203417
strided,16384,200,8,B,0.2270670993874002,0.18990127257941425,A,0.2828694006893784
tail,16384,200,9,A,0.8045607633276884,0.4905429284249343,B,0.07211696833837777
strided,16384,200,9,B,0.28286829318181245,0.1407174520638945,A,0.08704554825089872
tail,16384,350,2,A,0.8286424089159722,0.7090106485415743,B,0.12227250961586833
strided,16384,350,2,B,0.5239298125794815,0.4396623366058557,A,0.07186403428204358
tail,16384,350,3,A,0.6730146728290342,0.6706045753900267,B,0.04053367185406387
strided,16384,350,3,B,0.274688411378663,0.30934619049413575,A,0.07109020976349711
tail,16384,350,4,A,0.5290739949922774,0.46078925725746167,B,0.036342181731015444
strided,16384,350,4,B,0.28179960407958166,0.29439405797239093,A,0.14702650159597397
tail,16384,350,5,A,0.7265778354281602,0.5832974992253642,B,0.04520025150850415
strided,16384,350,5,B,-0.07882366601282682,0.02748276568742452,A,0.38822614308446646
tail,16384,350,6,A,0.7727114862415404,0.5663725227442103,B,0.03926185518503189
strided,16384,350,6,B,0.3192314095386578,0.2407324960078921,A,0.09644201374612749
tail,16384,350,7,A,0.8303541083609105,0.6298813600839118,B,0.06826432677917182
strided,16384,350,7,B,0.11675561432442846,0.06227521004296013,A,0.11656678561121225
tail,16384,350,8,A,0.8281304358704633,0.6713230528812963,B,0.05082007311284542
strided,16384,350,8,B,0.053232818640014334,-0.03658925461487937,A,0.3732600072398782
tail,16384,350,9,A,0.7902700222489404,0.5339226689230749,B,0.09024165757000446
strided,16384,350,9,B,0.06847002576418153,-0.02602838270831902,A,0.08485907455906272
tail,16384,500,2,A,0.870967017811821,0.7200729768764773,B,0.16090412624180317
strided,16384,500,2,B,0.45607058670018497,0.34407789827126345,A,0.0790759976953268
tail,16384,500,3,A,0.5627771437176405,0.5249312377853104,B,0.03624507423955947
strided,16384,500,3,B,0.32090352346454976,0.3159967854135763,A,0.0790730060543865
tail,16384,500,4,A,0.3667777317510824,0.4427375832645842,B,0.03609820595011115
strided,16384,500,4,B,0.1165730246538825,0.17241115467032905,A,0.14485719241201878
tail,16384,500,5,A,0.7286866520422473,0.6954867283809767,B,0.046275752829387784
strided,16384,500,5,B,-0.20307884433837028,-0.09156350290861154,A,0.32328660087659955
tail,16384,500,6,A,0.6772035242422334,0.5328155859811986,B,0.03917382867075503
strided,16384,500,6,B,0.26143082784510463,0.2586153720753289,A,0.08251451142132282
tail,16384,500,7,A,0.8020586875173178,0.6808067314569898,B,0.06315582804381847
strided,16384,500,7,B,0.09134402866144657,0.033707400641709934,A,0.10668515542056412
tail,16384,500,8,A,0.8046681908408554,0.7079931309878296,B,0.058776109013706446
strided,16384,500,8,B,-0.0618111921290214,-0.07642918533562412,A,0.3905749646946788
tail,16384,500,9,A,0.7990179120610336,0.577583182784572,B,0.08342043519951403
strided,16384,500,9,B,-0.10040813424173618,-0.12236607415294184,A,0.06998118804767728
