step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
0,2,True,,A,2.0938,2.4028,0.5508981826261393,nan,nan,nan,0.29740374758436794,0.725118562269595,nan,nan,4000
0,3,True,,A,2.7661,3.4888,0.5688654242396222,nan,nan,nan,0.3645398676837769,0.7126504649882632,nan,nan,4000
0,4,False,busiest expert at 4.16x balanced load,A,3.4326,4.1641,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,5,False,busiest expert at 4.92x balanced load; busiest expert at 5.12x balanced load,A,4.9204,5.1235,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,6,False,busiest expert at 3.98x balanced load; busiest expert at 4.74x balanced load,A,3.9805,4.7437,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,7,False,busiest expert at 5.30x balanced load; busiest expert at 6.81x balanced load,A,5.3003,6.8052,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,8,False,busiest expert at 4.22x balanced load; busiest expert at 5.61x balanced load,A,4.2231,5.6099,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,9,False,1 experts received zero tokens; busiest expert at 4.24x balanced load,A,4.916,4.2437,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,2,False,busiest expert at 4.58x balanced load; busiest expert at 3.77x balanced load,A,4.5752,3.7729,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,3,False,1 experts received zero tokens; busiest expert at 5.78x balanced load,A,5.3828,5.7773,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,4,False,3 experts received zero tokens; 3 experts received zero tokens,A,6.6265,6.4395,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,5,False,6 experts received zero tokens; 4 experts received zero tokens,A,6.6372,6.6211,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,6,False,6 experts received zero tokens; 3 experts received zero tokens,A,7.7559,7.8076,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,7,False,16 experts received zero tokens; 12 experts received zero tokens,A,7.9897,7.9634,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,8,False,28 experts received zero tokens; 24 experts received zero tokens,A,7.5493,7.4766,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,9,False,32 experts received zero tokens; 29 experts received zero tokens,A,7.7817,7.5518,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,2,False,busiest expert at 3.78x balanced load,A,3.7778,2.7437,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,3,False,1 experts received zero tokens; 1 experts received zero tokens,A,4.5337,4.0757,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,4,False,1 experts received zero tokens; 1 experts received zero tokens,A,6.2822,5.3682,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,5,False,3 experts received zero tokens; 3 experts received zero tokens,A,6.8325,7.1904,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,6,False,4 experts received zero tokens; 5 experts received zero tokens,A,6.4951,6.4058,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,7,False,9 experts received zero tokens; 8 experts received zero tokens,A,6.4653,6.6968,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,8,False,5 experts received zero tokens; 4 experts received zero tokens,A,7.1055,6.5938,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,9,False,2 experts received zero tokens; 5 experts received zero tokens,A,6.7095,6.4912,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,2,True,,A,2.4199,2.6138,0.8072486980934619,0.6579249371914907,0.5055855723577849,0.641921369148668,0.7163169214234284,0.8792982352057873,0.34555611005047915,0.8457503927423534,1
75,3,True,,A,2.5093,2.3911,0.7498743210846379,0.3647682690235017,0.1556814259983275,0.2751900237729622,0.4851763441223565,0.899431740990341,0.042749119254181484,0.627673442076711,531
75,4,True,,A,2.1709,2.5669,0.8794538510904323,0.8233759566001807,0.7396650030454033,0.8321662502789605,0.7956228217145274,0.934702650680839,0.6673725873576268,0.9316688246562408,0
75,5,False,busiest expert at 3.64x balanced load; busiest expert at 4.65x balanced load,A,3.6396,4.6519,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,6,False,busiest expert at 3.74x balanced load,A,3.2461,3.7427,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,7,True,,A,3.3735,3.4565,0.8529680908568613,0.7650920817412823,0.5575650406855727,0.7071934492336935,0.7503604110887492,0.9250844122342654,0.5400142282772814,0.9030365882541377,0
75,8,False,busiest expert at 5.03x balanced load; busiest expert at 4.57x balanced load,A,5.0337,4.5703,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,9,True,,A,3.1382,2.77,0.8695087995357422,0.7427594155702744,0.5949742775570175,0.712912430688362,0.7116770882379739,0.9402013923516344,0.40655743132775707,0.8921126507758256,1
100,2,True,,A,2.8994,1.9497,0.8509193647514377,0.6950373073203844,0.625751553062262,0.7149255577129064,0.6731327935787309,0.9298438723164679,0.5703850739271896,0.9097237160350187,0
100,3,True,,A,2.8525,2.5122,0.7157718984778599,0.875634052028353,0.5823708637001286,0.8440609700628553,0.5088509104655112,0.85361460078443,0.6859069031718751,0.927531968314649,0
100,4,True,,A,2.7974,1.73,0.8248704987113499,0.9129533244426472,0.8428873359921119,0.9658644151718876,0.6891344154829755,0.9124217049152429,0.9079412165953348,1.0073449474801803,0
100,5,True,,A,2.668,2.2041,0.9401784010655261,0.9335671610850704,0.8576837002173175,0.9228502341541153,0.8784245737640327,0.9675543422876576,0.8779639273569585,0.969474275897056,0
100,6,True,,A,2.6265,2.0098,0.862669734536369,0.8773717338665994,0.7495669435440866,0.8731216381836399,0.754279485288769,0.929489573131025,0.7498701302300553,0.9567967993036652,0
100,7,True,,A,2.7212,2.3149,0.8775031076855017,0.8157174126778077,0.7001728818328052,0.8067670975743323,0.733919433800936,0.9451612497901992,0.7075912972655164,0.9104878329069078,0
100,8,True,,A,2.1616,2.0273,0.885540817178755,0.7916017304451691,0.6771513081985638,0.7780221052992529,0.6795845681109934,0.9565398205592011,0.5458882151590071,0.8953011242950699,0
100,9,True,,A,2.292,2.1914,0.6779749924775601,0.8386841466474412,0.6164250186975789,0.8732377619908047,0.49395279241419426,0.8505135693442161,0.6255391262870889,0.981872359339541,1
125,2,True,,A,2.083,1.603,0.8135318403879783,0.7744900185314734,0.5256502256877369,0.7074065268793225,0.4904340806336461,0.9407622728766952,0.6012598056151215,0.9109609754617977,0
125,3,True,,A,2.3726,2.5635,0.7574961614702417,0.8097218766748725,0.6196549106057565,0.8138655508533281,0.6045106253995185,0.8794069051626758,0.6513372512910369,0.920211016304309,0
125,4,True,,A,2.5176,1.688,0.7636276905516529,0.9067928793435095,0.796732751826539,0.9726790268037633,0.655075193139885,0.866686538315929,0.9078168691428985,1.0187824380378527,0
125,5,True,,A,2.188,1.8569,0.8639561440721405,0.8903697063577032,0.8465398532858273,0.9340347695445497,0.7462286712487893,0.9497179352460309,0.8669838467468719,0.9725160952769816,0
125,6,True,,A,2.9844,2.291,0.8110180056748533,0.9244852860066096,0.7329702521935371,0.9140667851702566,0.7158443436290514,0.8879765981352757,0.8084655429935792,0.9816401141620308,0
125,7,True,,A,2.8145,1.9121,0.8756769577103978,0.9033379624170695,0.7597263591339678,0.8852822715469487,0.745233568356153,0.9376751856389567,0.7765947420563641,0.9485601294521214,0
125,8,True,,A,2.7095,2.0806,0.917994375469106,0.8606820247552381,0.8047639669013026,0.8686315862205105,0.7825800210367272,0.964463788663629,0.7197501496652533,0.941978909313559,0
125,9,True,,A,3.2593,2.4941,0.7143097655386401,0.8454895204886526,0.6390764248464599,0.8697355444845087,0.5672043192394884,0.8446118457663675,0.6879432427000686,0.9660240783139193,1
150,2,True,,A,1.5234,2.0591,0.8742831826957522,0.900948246773156,0.7454253654412383,0.8764475743273311,0.6103656785839583,0.9610629524340426,0.7477983489076767,0.9386636016481368,0
150,3,True,,A,1.7964,2.4326,0.7570423139178544,0.876236305587335,0.6593579123371036,0.8735970435057343,0.5976966526269737,0.8729341634166451,0.752946434225163,0.94953939580518,0
150,4,True,,A,1.8486,1.9429,0.774299175931661,0.9316257434738814,0.796569064934702,0.9789895591007399,0.6585692038447386,0.8698814691092168,0.9254415901561547,1.0302247320664284,0
150,5,True,,A,1.8237,2.0469,0.8658127524400436,0.9240087668235419,0.8573284102818882,0.9565323546996642,0.7100302863690272,0.9267967193279887,0.8962564426749259,0.9893897282043188,0
150,6,True,,A,1.834,2.2383,0.8098060171621689,0.9218351153592216,0.7596980818842032,0.9299436624260127,0.7036130504418088,0.8853974874387002,0.854164235313465,0.992976690883724,0
150,7,True,,A,2.479,2.0732,0.7747810009742944,0.9048738077112866,0.7697601262788252,0.9481613165990905,0.5321256028660682,0.9007121757476876,0.8684234832359307,1.0067937037531312,0
150,8,True,,A,2.0039,2.0996,0.8454068892430922,0.9305130298685466,0.8356274621321088,0.9590355150157713,0.6244041733511927,0.9326915086567018,0.8795358670668518,0.9960089040551108,0
150,9,True,,A,2.0576,3.2817,0.6097792505309412,0.8764083137491526,0.6468368611115083,0.9641937316195098,0.48577033084735516,0.7524683274088027,0.8158911055803117,1.0392539502466822,0
175,2,True,,A,1.9146,1.8208,0.8877651808393454,0.9180014036428874,0.782406047170537,0.8994742150794559,0.655082901656117,0.9624653342061885,0.7559649158732059,0.9566258849718552,0
175,3,True,,A,1.9961,1.6021,0.8024972441171017,0.918208118661297,0.7231368782927339,0.9096179971086287,0.6770330150274286,0.899224882322497,0.8243815783939392,0.9653163905822032,0
175,4,True,,A,1.8325,1.9531,0.7619496933640942,0.9217911055669628,0.7784767166729419,0.970456160405657,0.6527706866345453,0.8659571111116294,0.9181442107517078,1.0203179642323104,0
175,5,True,,A,1.8076,1.7593,0.8011132739710214,0.8913445136173126,0.8115143563839784,0.9502194977910519,0.6083715099499669,0.9003181101875947,0.867291907601574,1.0077241357453417,0
175,6,True,,A,1.9199,1.8306,0.8505998327643,0.9195505419816683,0.7825760069763092,0.9197894421900551,0.7538453112856303,0.9149599406403353,0.8532158659805282,0.9715710591220851,0
175,7,True,,A,2.1392,2.0449,0.6728649246072695,0.9276280560861665,0.7084753419266386,0.9882921881245689,0.42618709840340324,0.8303367732041058,0.9158735985490243,1.0475778619958453,0
175,8,True,,A,1.8931,2.1255,0.8234124418902506,0.8956801078550326,0.8027256882309798,0.93443981043631,0.6622367752673529,0.9144279909893428,0.8540762702220916,0.9781942917772011,0
175,9,True,,A,2.0303,1.7612,0.601208611263833,0.8680868279180789,0.5066395195796358,0.855300091668424,0.4228561407592042,0.738606775252861,0.6693580699185583,0.9776058482868397,0
200,2,True,,A,1.6709,2.0815,0.9032963306669826,0.9154514674322475,0.7862673945645553,0.8926632850969856,0.7158786337247234,0.9655732831618818,0.7142991646252098,0.9538947109160971,0
200,3,True,,A,1.6763,1.8027,0.8568662352022514,0.8827903349812957,0.7225151620687387,0.8627714245338675,0.7572351579228542,0.9205523033281506,0.7652773639626069,0.9283176988542945,0
200,4,True,,A,1.75,1.8096,0.7525297293068349,0.9003082857241573,0.7108112166902988,0.9221698708832621,0.6246427321989032,0.8659409952794862,0.8557855177603696,0.9819465097588832,0
200,5,True,,A,1.6733,1.6367,0.7817649778712893,0.8490636145472474,0.7325035671030569,0.8919425486648793,0.5966740235063155,0.8840038356849305,0.7770013616678938,0.9720936116203929,0
200,6,True,,A,1.9189,1.8369,0.8253573433293244,0.9026199867163376,0.7204822914893949,0.8876527820699629,0.7270257770091031,0.8977871558797078,0.8090563831766799,0.9518537908790738,0
200,7,True,,A,1.9038,2.2544,0.6208065743187279,0.9169634506653987,0.6055847324696506,0.9457695291079894,0.3769954888418475,0.8141859368763356,0.8104118112609481,1.0073723233938363,2
200,8,True,,A,1.9028,2.3159,0.7660617390018623,0.853121591763625,0.7366361246208027,0.9057327828870715,0.5690623392934943,0.8953937846438195,0.8154653574570924,0.9671522044358845,0
