step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
0,2,True,,A,2.0938,2.4028,0.7020984564052761,nan,nan,nan,0.5908675967288635,0.794121368800431,nan,nan,4000
0,3,True,,A,2.7661,3.4888,0.7033216064068321,nan,nan,nan,0.5928913910144608,0.791415970767406,nan,nan,4000
0,4,False,busiest expert at 4.16x balanced load,A,3.4326,4.1641,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,5,False,busiest expert at 4.92x balanced load; busiest expert at 5.12x balanced load,A,4.9204,5.1235,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,6,False,busiest expert at 3.98x balanced load; busiest expert at 4.74x balanced load,A,3.9805,4.7437,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,7,False,busiest expert at 5.30x balanced load; busiest expert at 6.81x balanced load,A,5.3003,6.8052,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,8,False,busiest expert at 4.22x balanced load; busiest expert at 5.61x balanced load,A,4.2231,5.6099,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,9,False,1 experts received zero tokens; busiest expert at 4.24x balanced load,A,4.916,4.2437,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,2,False,busiest expert at 4.58x balanced load; busiest expert at 3.77x balanced load,A,4.5752,3.7729,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,3,False,1 experts received zero tokens; busiest expert at 5.78x balanced load,A,5.3828,5.7773,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,4,False,3 experts received zero tokens; 3 experts received zero tokens,A,6.6265,6.4395,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,5,False,6 experts received zero tokens; 4 experts received zero tokens,A,6.6372,6.6211,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,6,False,6 experts received zero tokens; 3 experts received zero tokens,A,7.7559,7.8076,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,7,False,16 experts received zero tokens; 12 experts received zero tokens,A,7.9897,7.9634,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,8,False,28 experts received zero tokens; 24 experts received zero tokens,A,7.5493,7.4766,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,9,False,32 experts received zero tokens; 29 experts received zero tokens,A,7.7817,7.5518,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,2,False,busiest expert at 3.78x balanced load,A,3.7778,2.7437,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,3,False,1 experts received zero tokens; 1 experts received zero tokens,A,4.5337,4.0757,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,4,False,1 experts received zero tokens; 1 experts received zero tokens,A,6.2822,5.3682,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,5,False,3 experts received zero tokens; 3 experts received zero tokens,A,6.8325,7.1904,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,6,False,4 experts received zero tokens; 5 experts received zero tokens,A,6.4951,6.4058,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,7,False,9 experts received zero tokens; 8 experts received zero tokens,A,6.4653,6.6968,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,8,False,5 experts received zero tokens; 4 experts received zero tokens,A,7.1055,6.5938,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,9,False,2 experts received zero tokens; 5 experts received zero tokens,A,6.7095,6.4912,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,2,True,,A,2.4199,2.6138,0.9317755792243961,0.8946419610773011,0.899254840084949,0.9292024837498788,0.8828508495292607,0.9648604609185131,0.885939636555604,0.9769505734768368,0
75,3,True,,A,2.5093,2.3911,0.9671568664858298,0.9148613354093367,0.9176320203071301,0.9316728864086267,0.9311115439324895,0.9898793892723728,0.9010980627906977,0.966564686783439,0
