run,layer,n_steps,lag_dumps,lag_steps,c_forward,c_backward,asymmetry,pairs
A,2,18,-4,-100,0.7974415578256396,0.7996144768810247,-0.002172919055385081,10
A,2,18,-3,-75,0.8086898528011304,0.8338955417150734,-0.025205688913943036,12
A,2,18,-2,-50,0.8135720947227184,0.8597714561776412,-0.04619936145492276,14
A,2,18,-1,-25,0.8229976729569992,0.8678831551228575,-0.044885482165858304,16
A,2,18,0,0,0.8571396841374892,0.8571396841374892,0.0,18
A,2,18,1,25,0.8678831551228575,0.8229976729569992,0.044885482165858304,16
A,2,18,2,50,0.8597714561776412,0.8135720947227184,0.04619936145492276,14
A,2,18,3,75,0.8338955417150734,0.8086898528011304,0.025205688913943036,12
A,2,18,4,100,0.7996144768810247,0.7974415578256396,0.002172919055385081,10
B,2,19,-4,-100,0.7983768234092371,0.7353313333346292,0.06304549007460791,11
B,2,19,-3,-75,0.8042691004148594,0.7975433326652811,0.0067257677495783375,13
B,2,19,-2,-50,0.803451506318336,0.8514801407595307,-0.04802863444119476,15
B,2,19,-1,-25,0.8281693354868601,0.883988105940974,-0.055818770454113875,17
B,2,19,0,0,0.8764408806527191,0.8764408806527191,0.0,19
B,2,19,1,25,0.883988105940974,0.8281693354868601,0.055818770454113875,17
B,2,19,2,50,0.8514801407595307,0.803451506318336,0.04802863444119476,15
B,2,19,3,75,0.7975433326652811,0.8042691004148594,-0.0067257677495783375,13
B,2,19,4,100,0.7353313333346292,0.7983768234092371,-0.06304549007460791,11
A,3,18,-4,-100,0.6531253128544148,0.7952349127175609,-0.14210959986314609,10
A,3,18,-3,-75,0.6798252207284144,0.8040066991148712,-0.12418147838645677,12
A,3,18,-2,-50,0.7135993683396328,0.8062518219381963,-0.09265245359856356,14
A,3,18,-1,-25,0.7453776208255785,0.792964854927809,-0.047587234102230536,16
A,3,18,0,0,0.7736336370419703,0.7736336370419703,0.0,18
A,3,18,1,25,0.792964854927809,0.7453776208255785,0.047587234102230536,16
A,3,18,2,50,0.8062518219381963,0.7135993683396328,0.09265245359856356,14
A,3,18,3,75,0.8040066991148712,0.6798252207284144,0.12418147838645677,12
A,3,18,4,100,0.7952349127175609,0.6531253128544148,0.14210959986314609,10
B,3,18,-4,-100,0.6261767552010546,0.8373066238074584,-0.2111298686064037,10
B,3,18,-3,-75,0.6758048184969839,0.8471407514665031,-0.1713359329695192,12
B,3,18,-2,-50,0.7258078108884842,0.8443489246012764,-0.11854111371279219,14
B,3,18,-1,-25,0.772240444452912,0.8323942907782178,-0.06015384632530585,16
B,3,18,0,0,0.810435434727989,0.810435434727989,0.0,18
B,3,18,1,25,0.8323942907782178,0.772240444452912,0.06015384632530585,16
B,3,18,2,50,0.8443489246012764,0.7258078108884842,0.11854111371279219,14
B,3,18,3,75,0.8471407514665031,0.6758048184969839,0.1713359329695192,12
B,3,18,4,100,0.8373066238074584,0.6261767552010546,0.2111298686064037,10
A,4,18,-4,-100,0.5545778904788982,0.6850837229752628,-0.1305058324963646,10
