step,layer,split,split_seed,num_parts,part_tokens,num_pairs,mean_pairwise_correlation,min_pairwise_correlation,stdev_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,random,42,2,16384,1,0.9988078960387438,0.9988078960387438,0.0,0.007023481652140617,nan,nan
0,3,random,42,2,16384,1,0.9990605089774816,0.9990605089774816,0.0,0.006753498688340187,nan,nan
0,4,random,42,2,16384,1,0.9996079950952887,0.9996079950952887,0.0,0.0048449477180838585,nan,nan
0,5,random,42,2,16384,1,0.9993126920294099,0.9993126920294099,0.0,0.005250112619251013,nan,nan
0,6,random,42,2,16384,1,0.9994381415933655,0.9994381415933655,0.0,0.008505647536367178,nan,nan
0,7,random,42,2,16384,1,0.9996876550906274,0.9996876550906274,0.0,0.006157263647764921,nan,nan
0,8,random,42,2,16384,1,0.9996122401185598,0.9996122401185598,0.0,0.00492886221036315,nan,nan
0,9,random,42,2,16384,1,0.9996776103544429,0.9996776103544429,0.0,0.005479942075908184,nan,nan
25,2,random,42,2,16384,1,0.9997533519377878,0.9997533519377878,0.0,0.0041978106601163745,0.6985601657946382,0.698414204433935
25,3,random,42,2,16384,1,0.9999080577102772,0.9999080577102772,0.0,0.0017740543698891997,0.7070822425827973,0.7071360231481678
25,4,random,42,2,16384,1,0.9999083579179839,0.9999083579179839,0.0,0.0020804054802283645,0.6410657783615377,0.6410269322542167
25,5,random,42,2,16384,1,0.9999221513832285,0.9999221513832285,0.0,0.003070275764912367,0.6531248761207409,0.6530489248049308
25,6,random,42,2,16384,1,0.9999533449698607,0.9999533449698607,0.0,0.0015449015190824866,0.6763050096419232,0.6762503647242176
25,7,random,42,2,16384,1,0.9999474628402419,0.9999474628402419,0.0,0.00313858559820801,0.699712670925042,0.6997160323885201
25,8,random,42,2,16384,1,0.9999838535678399,0.9999838535678399,0.0,0.001549998065456748,0.8561335321462277,0.856120799144725
25,9,random,42,2,16384,1,0.9999854481893595,0.9999854481893595,0.0,0.0030729296850040555,0.8298701681844084,0.8298684659257127
50,2,random,42,2,16384,1,0.9996973015231317,0.9996973015231317,0.0,0.004607395938364789,0.8908150980820708,0.8907529983557377
50,3,random,42,2,16384,1,0.9998031759360296,0.9998031759360296,0.0,0.0049758408713387325,0.8627974330630376,0.8627269229065144
50,4,random,42,2,16384,1,0.9998280829601044,0.9998280829601044,0.0,0.0052368785691214725,0.8832405562405655,0.8833135261792946
50,5,random,42,2,16384,1,0.9997952747934722,0.9997952747934722,0.0,0.005349172410205938,0.7969478182502057,0.7969033492221802
50,6,random,42,2,16384,1,0.9998896244894449,0.9998896244894449,0.0,0.0031433767653652467,0.7987307350842994,0.7986461718968423
50,7,random,42,2,16384,1,0.9999166763986799,0.9999166763986799,0.0,0.0028694149441435,0.7982574131299254,0.7982110233286933
50,8,random,42,2,16384,1,0.9999129708861251,0.9999129708861251,0.0,0.0033152931355289184,0.8368697302140938,0.8367139375887833
50,9,random,42,2,16384,1,0.9998884351359606,0.9998884351359606,0.0,0.003623521224653814,0.8640024174842866,0.8640375707329371
