n,e,k,separation,seed,n,e,k,mode,eta,steps,steps_run,settled_at,basis,basis_step,objective,max_load,overflow,cycle_length,band_width,cycle_objective_mean,divisible,default_cap,lp_objective,vanilla_objective,vanilla_max_load,balanced_load,oracle_max_load,span,gap_at_default_cap,matched_cap,matched_lp_objective,gap_at_matched_cap,gap_at_per_expert_cap,gap_over_span,matched_lp_unconstrained,cycle_best_step,cycle_best_max_load,cycle_best_objective,cycle_best_gap_at_matched_cap,cycle_best_gap_over_span,set_agreement,untied_set_agreement,tied_tokens,median_tie_margin,min_tie_margin,oracle_min_margin,oracle_exact_ties,excess_tokens,tier,dual_correlation,dual_linf
512,8,2,2.0,0,512,8,2,annealed,0.01,40000,70,69,trajectory_closest,69,876.9225459271763,128,0.0,,nan,nan,True,128,876.9225459271763,877.2674718412939,138,128.0,128,0.3449259141175389,0.0,128,876.9225459271763,0.0,0.0,0.0,False,,,nan,nan,nan,1.0,1.0,7,0.07608320429100768,4.127500328188205e-07,0.0,1,0,settled,0.9980685085524361,0.0014859966616440345
512,8,2,2.0,0,512,8,2,deployed,0.001,2000,23,,cycle_worst,20,876.9489526305092,130,0.015625,4,0.0010000000000000009,876.9262318669219,True,128,876.9225459271763,877.2674718412939,138,128.0,128,0.3449259141175389,nan,130,877.1042034923115,0.1552508618023012,0.04622260989845017,0.45009915302970543,False,22,129,876.972393630854,0.1318098614575547,0.38213963075165874,0.9921875,0.998019801980198,7,0.07672197005655856,0.00015660099220793366,0.0,1,4,unconverged,0.9944708504553899,0.0018307247713618049
512,8,2,2.0,0,512,8,2,deployed,0.01,2000,3,,cycle_worst,2,876.5277127869117,135,0.0546875,2,0.01,876.775705891609,True,128,876.9225459271763,877.2674718412939,138,128.0,128,0.3449259141175389,nan,135,877.2628602997788,0.7351475128671154,0.5051090109789129,2.1313200394001197,False,1,133,877.0236989963065,0.239161303472315,0.6933700649433288,0.96484375,0.9663366336633663,7,0.07869355746050838,0.0006859220623702811,0.0,1,18,unconverged,0.9314482375249711,0.01025601699109056
512,8,2,2.0,0,512,8,2,deployed,0.1,2000,2,,cycle_worst,1,855.8959954642146,205,0.6015625,2,0.1,866.5817336527542,True,128,876.9225459271763,877.2674718412939,138,128.0,128,0.3449259141175389,nan,205,nan,nan,nan,nan,True,0,138,877.2674718412939,nan,nan,0.626953125,0.6277227722772277,7,0.08591636361380361,0.00012872621338000378,0.0,1,195,unconverged,0.9790080326741858,0.11292419453767555
512,8,2,2.0,1,512,8,2,annealed,0.01,40000,629,628,trajectory_closest,628,876.0203803521986,128,0.0,,nan,nan,True,128,876.0203803521986,876.1905057465385,135,128.0,128,0.1701253943399479,0.0,128,876.0203803521986,0.0,0.0,0.0,False,,,nan,nan,nan,1.0,1.0,7,0.07996498010692285,6.026813657022956e-07,0.0,6,0,settled,0.998374608459253,0.001036707254017638
512,8,2,2.0,1,512,8,2,deployed,0.001,2000,18,,cycle_worst,17,875.9902848839436,130,0.015625,2,0.0010000000000000009,876.0151903172538,True,128,876.0203803521986,876.1905057465385,135,128.0,128,0.1701253943399479,nan,130,876.1578977077589,0.16761282381537512,0.10307820912476018,0.9852310671530196,False,16,130,876.040095750564,0.11780195719495623,0.6924419346800281,0.98828125,0.9900990099009901,7,0.07943166486509301,0.0002486722390036,0.0,6,6,unconverged,0.991647175536734,0.0021763044895932284
512,8,2,2.0,1,512,8,2,deployed,0.01,2000,6,,cycle_worst,4,875.6780020395557,137,0.0703125,2,0.01,875.8459741003303,True,128,876.0203803521986,876.1905057465385,135,128.0,128,0.1701253943399479,nan,137,nan,nan,nan,nan,True,5,136,876.013946161105,nan,nan,0.94140625,0.9465346534653465,7,0.0800014546441084,0.00019632659913026984,0.0,6,25,unconverged,0.7120767676558702,0.012017506749690206
512,8,2,2.0,1,512,8,2,deployed,0.1,2000,4,,cycle_worst,3,871.3821081042298,181,0.4140625,2,0.1,871.5847963581475,True,128,876.0203803521986,876.1905057465385,135,128.0,128,0.1701253943399479,nan,181,nan,nan,nan,nan,True,2,152,871.7874846120653,nan,nan,0.791015625,0.7940594059405941,7,0.08216679642139395,0.00011012382024078171,0.0,6,98,unconverged,0.2430154034750129,0.07191197651946807
512,8,2,2.0,2,512,8,2,annealed,0.01,40000,343,342,trajectory_closest,342,876.4106979874182,128,0.0,,nan,nan,True,128,876.4106979874182,876.7401710256859,142,128.0,128,0.32947303826767893,0.0,128,876.4106979874182,0.0,0.0,0.0,False,,,nan,nan,nan,1.0,1.0,7,0.08639560985348643,4.632279115845961e-09,0.0,6,0,settled,0.9928047654698531,0.0027830325391580597
512,8,2,2.0,2,512,8,2,deployed,0.001,2000,19,,cycle_worst,18,876.387516655625,130,0.015625,2,0.0010000000000000009,876.4026451247959,True,128,876.4106979874182,876.7401710256859,142,128.0,128,0.32947303826767893,nan,130,876.5656508184161,0.1781341627911388,0.08088359820817459,0.5406638544013865,False,17,130,876.4177735939668,0.14787722444930296,0.44882951645093566,0.9921875,0.994059405940594,7,0.08694556964813194,6.62743745468708e-05,0.0,6,4,unconverged,0.997563832058136,0.0013614223040540677
512,8,2,2.0,2,512,8,2,deployed,0.01,2000,4,,cycle_worst,3,876.4769639144035,136,0.0625,2,0.01,876.3923943203472,True,128,876.4106979874182,876.7401710256859,142,128.0,128,0.32947303826767893,nan,136,876.7250316990518,0.2480677846482422,0.1717234200675648,0.7529228672323124,False,2,132,876.3078247262907,0.41720697276105057,1.2662856267531444,0.962890625,0.9683168316831683,7,0.08620938774424608,2.8266612178584616e-05,0.0,6,17,unconverged,0.9065085557028824,0.007159994048905154
512,8,2,2.0,2,512,8,2,deployed,0.1,2000,2,,cycle_worst,1,854.5872216836462,184,0.4375,2,0.1,865.6636963546661,True,128,876.4106979874182,876.7401710256859,142,128.0,128,0.32947303826767893,nan,184,nan,nan,nan,nan,True,0,142,876.7401710256859,nan,nan,0.60546875,0.6138613861386139,7,0.08952137025735263,2.8266612178584616e-05,0.0,6,210,unconverged,0.8696013844334062,0.10034000595109485
512,8,2,0.2,0,512,8,2,annealed,0.01,40000,40000,,trajectory_closest,5269,569.1471027719651,129,0.0078125,,nan,nan,True,128,569.1434887778876,569.2033305831234,138,128.0,128,0.05984180523580562,nan,129,569.1621374745837,0.01503470261855,0.0003452934117831319,0.2512407932766401,False,,,nan,nan,nan,0.998046875,1.0,7,0.01419017021053276,1.0807486350294937e-08,0.0,5,1,unconverged,0.9969787691487375,0.00038495298768820166
