step,layer,instrument,spread,spread_over_eta,std,bias_corr
500,2,tail,1.609041e-01,160.90,2.112195e-02,0.870967
500,2,strided,7.907600e-02,79.08,1.611703e-02,0.456071
500,3,tail,3.624507e-02,36.25,8.879594e-03,0.562777
500,3,strided,7.907301e-02,79.07,1.489620e-02,0.320904
500,4,tail,3.609821e-02,36.10,8.060072e-03,0.366778
500,4,strided,1.448572e-01,144.86,2.504232e-02,0.116573
500,5,tail,4.627575e-02,46.28,1.000770e-02,0.728687
500,5,strided,3.232866e-01,323.29,4.167898e-02,-0.203079
500,6,tail,3.917383e-02,39.17,1.011344e-02,0.677204
500,6,strided,8.251451e-02,82.51,1.704638e-02,0.261431
500,7,tail,6.315583e-02,63.16,1.380289e-02,0.802059
500,7,strided,1.066852e-01,106.69,1.680291e-02,0.091344
500,8,tail,5.877611e-02,58.78,1.258745e-02,0.804668
500,8,strided,3.905750e-01,390.57,5.242960e-02,-0.061811
500,9,tail,8.342044e-02,83.42,1.569313e-02,0.799018
500,9,strided,6.998119e-02,69.98,1.574237e-02,-0.100408
