step,layer,instrument,spread,spread_over_eta,std,bias_corr
25,2,tail,2.120008e-01,212.00,4.873762e-02,0.541217
25,3,tail,2.776955e-01,277.70,5.574203e-02,0.476970
25,4,tail,2.529452e-01,252.95,5.716231e-02,0.607169
25,5,tail,2.605998e-01,260.60,6.140991e-02,0.772126
25,6,tail,3.104929e-01,310.49,6.677460e-02,0.652300
25,7,tail,3.336593e-01,333.66,7.338455e-02,0.705523
25,8,tail,4.790693e-01,479.07,9.485987e-02,0.847163
25,9,tail,4.328667e-01,432.87,1.030882e-01,0.851225
25,2,strided,2.496091e-01,249.61,5.778927e-02,0.694888
25,3,strided,2.633809e-01,263.38,6.035502e-02,0.721987
25,4,strided,2.828755e-01,282.88,5.791299e-02,0.607017
25,5,strided,3.276265e-01,327.63,6.965180e-02,0.555358
25,6,strided,3.467842e-01,346.78,6.463834e-02,0.678095
25,7,strided,3.186895e-01,318.69,6.868108e-02,0.680767
25,8,strided,4.273472e-01,427.35,9.165451e-02,0.848961
25,9,strided,4.273328e-01,427.33,1.066447e-01,0.820533
100,2,tail,1.056921e-01,105.69,1.817231e-02,0.839440
100,3,tail,1.201896e-01,120.19,2.765141e-02,0.970690
100,4,tail,9.961791e-02,99.62,2.685972e-02,0.946947
100,5,tail,1.438734e-01,143.87,2.652936e-02,0.940081
100,6,tail,1.462553e-01,146.26,2.963930e-02,0.939986
100,7,tail,1.611981e-01,161.20,3.287896e-02,0.901281
100,8,tail,1.553930e-01,155.39,2.947979e-02,0.887343
100,9,tail,1.255415e-01,125.54,2.611897e-02,0.871803
100,2,strided,1.018368e-01,101.84,2.022227e-02,0.895608
100,3,strided,1.131890e-01,113.19,3.005797e-02,0.965422
100,4,strided,1.992640e-01,199.26,3.670388e-02,0.808395
100,5,strided,3.192686e-01,319.27,4.371994e-02,0.632790
100,6,strided,1.279373e-01,127.94,2.979882e-02,0.841179
100,7,strided,1.265263e-01,126.53,3.217689e-02,0.864773
100,8,strided,1.339205e-01,133.92,3.204139e-02,0.799736
100,9,strided,1.302380e-01,130.24,2.781664e-02,0.853925
200,2,tail,1.086185e-01,108.62,1.450831e-02,0.906340
200,3,tail,6.268273e-02,62.68,1.413208e-02,0.917422
200,4,tail,5.388137e-02,53.88,1.390818e-02,0.869975
200,5,tail,7.388916e-02,73.89,1.492634e-02,0.836511
200,6,tail,5.754240e-02,57.54,1.561312e-02,0.881467
200,7,tail,8.966431e-02,89.66,1.909667e-02,0.902219
200,8,tail,5.819464e-02,58.19,1.525494e-02,0.824008
200,9,tail,7.211698e-02,72.12,1.565323e-02,0.804548
200,2,strided,4.770729e-02,47.71,1.039046e-02,0.691028
200,3,strided,4.998719e-02,49.99,1.167378e-02,0.739323
200,4,strided,2.055078e-01,205.51,2.907381e-02,0.404902
200,5,strided,3.764156e-01,376.42,4.686282e-02,0.134982
200,6,strided,9.467488e-02,94.67,1.806054e-02,0.465492
200,7,strided,8.949908e-02,89.50,1.577214e-02,0.384433
200,8,strided,2.828695e-01,282.87,3.964451e-02,0.227059
200,9,strided,8.704659e-02,87.05,1.542839e-02,0.282865
300,2,tail,1.109648e-01,110.96,1.478659e-02,0.832853
300,3,tail,4.681655e-02,46.82,1.001012e-02,0.746180
300,4,tail,4.210222e-02,42.10,1.039498e-02,0.678455
300,5,tail,5.904824e-02,59.05,1.186817e-02,0.717067
300,6,tail,4.994815e-02,49.95,1.241708e-02,0.763831
300,7,tail,8.901357e-02,89.01,1.664677e-02,0.763833
300,8,tail,5.471409e-02,54.71,1.276163e-02,0.758830
300,9,tail,7.828256e-02,78.28,1.495743e-02,0.711359
300,2,strided,6.045841e-02,60.46,1.302001e-02,0.593317
300,3,strided,6.746564e-02,67.47,1.206406e-02,0.465238
300,4,strided,1.644042e-01,164.40,2.685725e-02,0.272145
300,5,strided,3.807019e-01,380.70,4.827835e-02,0.024776
300,6,strided,8.229376e-02,82.29,1.616389e-02,0.377656
300,7,strided,1.071828e-01,107.18,1.836471e-02,0.155559
300,8,strided,3.436453e-01,343.65,4.618335e-02,0.060168
300,9,strided,7.604640e-02,76.05,1.482516e-02,0.061554
400,2,tail,1.680381e-01,168.04,2.142122e-02,0.828550
400,3,tail,3.689268e-02,36.89,8.851551e-03,0.688145
400,4,tail,3.684569e-02,36.85,8.535703e-03,0.535600
400,5,tail,4.531504e-02,45.32,1.034232e-02,0.768108
400,6,tail,3.728597e-02,37.29,1.020453e-02,0.784850
400,7,tail,7.316625e-02,73.17,1.468561e-02,0.816945
400,8,tail,5.947630e-02,59.48,1.307354e-02,0.802657
400,9,tail,8.255339e-02,82.55,1.551037e-02,0.820025
400,2,strided,7.666528e-02,76.67,1.686290e-02,0.507425
400,3,strided,6.447978e-02,64.48,1.147079e-02,0.416661
400,4,strided,1.328189e-01,132.82,2.278515e-02,0.269562
400,5,strided,3.466318e-01,346.63,4.450916e-02,-0.056434
400,6,strided,8.289579e-02,82.90,1.706916e-02,0.315999
400,7,strided,1.215524e-01,121.55,1.846820e-02,0.072063
400,8,strided,3.858137e-01,385.81,5.119829e-02,-0.036267
400,9,strided,6.448376e-02,64.48,1.521804e-02,0.006239
500,2,tail,1.609041e-01,160.90,2.112195e-02,0.870967
500,3,tail,3.624909e-02,36.25,8.879661e-03,0.562748
500,4,tail,3.610969e-02,36.11,8.060024e-03,0.366736
500,5,tail,4.629144e-02,46.29,1.000894e-02,0.728726
500,6,tail,3.917382e-02,39.17,1.011344e-02,0.677204
500,7,tail,6.315582e-02,63.16,1.380261e-02,0.802047
500,8,tail,5.877192e-02,58.77,1.258646e-02,0.804648
500,9,tail,8.342320e-02,83.42,1.569338e-02,0.799004
500,2,strided,7.906164e-02,79.06,1.611742e-02,0.456006
500,3,strided,7.907368e-02,79.07,1.489630e-02,0.320907
500,4,strided,1.448572e-01,144.86,2.504232e-02,0.116573
500,5,strided,3.232847e-01,323.28,4.167901e-02,-0.203083
500,6,strided,8.251451e-02,82.51,1.704648e-02,0.261458
500,7,strided,1.066845e-01,106.68,1.680285e-02,0.091350
500,8,strided,3.905730e-01,390.57,5.242780e-02,-0.061800
500,9,strided,6.997999e-02,69.98,1.574279e-02,-0.100382
