step,layer,split,split_seed,num_parts,part_tokens,num_pairs,mean_pairwise_correlation,min_pairwise_correlation,stdev_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,stride,,4,4096,6,0.9947061366448579,0.9938279616621071,0.0004240189051000509,0.011533746340622505,nan,nan
0,3,stride,,4,4096,6,0.9969215155578283,0.9961427950519967,0.0004634759385248049,0.011386936685691277,nan,nan
0,4,stride,,4,4096,6,0.9981604277628963,0.997788931368085,0.00028581402377952556,0.010506866732612252,nan,nan
0,5,stride,,4,4096,6,0.9987153582341146,0.9982770504084847,0.0003179948925696426,0.009266495704650879,nan,nan
0,6,stride,,4,4096,6,0.999096972425658,0.998999624249004,7.083857380545335e-05,0.008672177325934172,nan,nan
0,7,stride,,4,4096,6,0.9990100033289622,0.9988199897381347,0.00012701957494384454,0.008687907519439856,nan,nan
0,8,stride,,4,4096,6,0.9990131547449269,0.9987721829254567,0.00011527605195779814,0.010743173227335015,nan,nan
0,9,stride,,4,4096,6,0.9992848004980756,0.9990809770147947,0.0001330600789352213,0.008884402768065533,nan,nan
25,2,stride,,4,4096,6,0.9990935854942684,0.998961414141214,9.936122180468914e-05,0.006662804128912588,0.5411790224031159,0.5404953238763994
25,3,stride,,4,4096,6,0.9996260180522429,0.9995785818175644,3.5320287915775626e-05,0.005184231073750804,0.4769632672221754,0.4768543817178059
25,4,stride,,4,4096,6,0.9997645082866592,0.9996712066568161,6.135035825037786e-05,0.0033369501664613685,0.6071876255416276,0.6069664022283138
25,5,stride,,4,4096,6,0.9996807124269073,0.999386782677903,0.00014923449671505406,0.008218727947678417,0.772133432614197,0.7720395485191679
25,6,stride,,4,4096,6,0.9999194868768536,0.9998900562400972,1.4264307837344812e-05,0.0023265279014594853,0.6523019720491783,0.6522337641382692
25,7,stride,,4,4096,6,0.9999461671507738,0.9999324591313173,7.597022714762398e-06,0.0026302824650580683,0.7055258861997258,0.7054659674556462
25,8,stride,,4,4096,6,0.9999771868126522,0.9999705205556263,3.665250728495867e-06,0.0021983644304176173,0.8471642146749749,0.8471066467786341
25,9,stride,,4,4096,6,0.9999842969934396,0.9999789919445511,3.90526347077589e-06,0.0018485425389371812,0.8512236736468037,0.8512552563581879
50,2,stride,,4,4096,6,0.9986215668802959,0.9976896652902435,0.0004942422017738415,0.010111288916959893,0.8644553898437137,0.8637233123077084
50,3,stride,,4,4096,6,0.9994837093991614,0.9990199568205698,0.00022804270270304194,0.017218906301422976,0.7111704801824554,0.7105283552039614
50,4,stride,,4,4096,6,0.9991800616282115,0.99823237699879,0.00043404644861180607,0.014713011187268421,0.8000069453460942,0.8003445405853957
50,5,stride,,4,4096,6,0.9997488733565337,0.9996430715177371,6.323617862704886e-05,0.005931770321088455,0.833840770033905,0.8335246044667644
50,6,stride,,4,4096,6,0.9996861668405973,0.9994166766354297,0.0001415248097437253,0.009129513004154433,0.7992351919963193,0.7993373407460269
50,7,stride,,4,4096,6,0.9997450976069165,0.9996279565184832,8.104339898235002e-05,0.007184515868478532,0.8570099432782222,0.8576318452796716
50,8,stride,,4,4096,6,0.9998722634104232,0.9997436396258326,7.86122069556183e-05,0.005405862626503222,0.7821852559365373,0.7823664777677795
50,9,stride,,4,4096,6,0.9998626252008607,0.9998285216511544,2.230197317197925e-05,0.004000975377493887,0.8891178172549793,0.8890492464893768
75,2,stride,,4,4096,6,0.997880783696631,0.9964674802900706,0.000983161353498615,0.008350012803020945,0.8946419497711983,0.8937485860614491
75,3,stride,,4,4096,6,0.9990629550516256,0.9981750971987585,0.0004478789823517611,0.009084889525941739,0.9148613501173561,0.9148404076295519
75,4,stride,,4,4096,6,0.9993912194677049,0.9992106090976483,0.00014242660446925088,0.005874720437229068,0.93489337018901,0.9349271093982254
75,5,stride,,4,4096,6,0.9994429248686673,0.9989314855111802,0.00029438284869348034,0.007449483141651096,0.9000480622000292,0.9000656101899558
75,6,stride,,4,4096,6,0.999326014334262,0.9990649200507368,0.0001513995131759805,0.006321054673435356,0.903661213465776,0.9033078022654702
75,7,stride,,4,4096,6,0.9995408766844971,0.9991508410787733,0.0002110104301472918,0.006603244130398404,0.8949854449396221,0.8949003148325368
75,8,stride,,4,4096,6,0.9995048562798567,0.9992323943404452,0.00017745277470982733,0.0077306679657643445,0.8285138513966652,0.8283299861029566
75,9,stride,,4,4096,6,0.9996623860471319,0.9995150963868854,8.958344862073408e-05,0.004812951285430245,0.8836890460887439,0.8837007779323345
100,2,stride,,4,4096,6,0.9980457606706432,0.9973204984392197,0.00043465409869629016,0.00490912423917204,0.8394538620614674,0.8389146511360953
100,3,stride,,4,4096,6,0.9992389114854533,0.9989479374388742,0.00015784031711914376,0.004027852581505916,0.9706949723030417,0.9702483994332057
100,4,stride,,4,4096,6,0.9993399743995758,0.9990582517918012,0.00017112916724488077,0.004029947740946227,0.9469479111992727,0.946825265525954
100,5,stride,,4,4096,6,0.9993595719372171,0.9992577366419203,6.879788989656171e-05,0.004064547404482255,0.9400595356170873,0.9401358687389829
100,6,stride,,4,4096,6,0.9993816023768659,0.9990263320519787,0.00024177042593551872,0.004716611170351825,0.9399784663018179,0.9401263109259627
100,7,stride,,4,4096,6,0.9994037763489838,0.9990564587148477,0.00019630126896579526,0.005545199109064924,0.9012806846438126,0.9012010712191675
100,8,stride,,4,4096,6,0.9996160248267083,0.9994391978445886,0.0001089790267361416,0.003929712466894368,0.8873028948705464,0.8869572498507153
100,9,stride,,4,4096,6,0.9992621580032184,0.9988521705447492,0.00020217187186943444,0.005514213311244021,0.8718047712684742,0.8713855365478834
125,2,stride,,4,4096,6,0.997347390884982,0.9962687939306679,0.0007461831231635859,0.004981888553326523,0.8703315733617966,0.8690902314095758
125,3,stride,,4,4096,6,0.9988873759437169,0.9985472327914059,0.00020992866538395346,0.004051565729848032,0.9432437975956551,0.9426599303527379
125,4,stride,,4,4096,6,0.9985823658370779,0.9978333959073103,0.0005422252998302502,0.004781396125508763,0.9173904592474242,0.9173475927324874
125,5,stride,,4,4096,6,0.9991610486062648,0.9986193631207124,0.00031628925055183496,0.005676085761933791,0.8878445486511161,0.8873819706171713
125,6,stride,,4,4096,6,0.9989556071830094,0.998192547040371,0.00045751808534197564,0.005847637038035221,0.9414441852529254,0.9408718634196694
125,7,stride,,4,4096,6,0.9992296400143653,0.999024733255462,0.0002184117204659427,0.0048513223604610784,0.9305542195692363,0.9304155043342268
125,8,stride,,4,4096,6,0.999160591299212,0.99867660440831,0.00032018963379315405,0.004274210992965284,0.8868480928321896,0.8866399229223241
125,9,stride,,4,4096,6,0.998292440077948,0.9962690286808126,0.0009828553515951162,0.00643661565770041,0.859422666574217,0.8584153345226522
150,2,stride,,4,4096,6,0.9968147818656735,0.9955999778202883,0.0010200474451671035,0.008132731328259979,0.9090656505938299,0.9091257828109278
150,3,stride,,4,4096,6,0.9980375174923655,0.9970896823738384,0.0004370210769376412,0.00489178231691767,0.9496018058166078,0.9486111816374113
150,4,stride,,4,4096,6,0.9970418682832923,0.9953673190448814,0.0010164478043246648,0.005956962130464187,0.9233932011861959,0.9224226523858697
150,5,stride,,4,4096,6,0.9982286746938837,0.9973846211946392,0.00047171113616438157,0.0043339937186222715,0.9190294508291701,0.9182808273520024
150,6,stride,,4,4096,6,0.9986090735578449,0.9981928174865778,0.00032658732841612484,0.004744331700446007,0.925303116893846,0.9248666018029347
150,7,stride,,4,4096,6,0.9988192372559815,0.9984781955913254,0.00023829949645019316,0.005521270046604816,0.9141479721510554,0.9137976115923577
150,8,stride,,4,4096,6,0.9978209984695395,0.9972035565899335,0.00048699123835556867,0.00451475593217765,0.9207705394218445,0.9197337016446436
150,9,stride,,4,4096,6,0.9969593164840798,0.9931130947734833,0.001915321913031814,0.008460935211284474,0.836768486320696,0.8363938563588882
175,2,stride,,4,4096,6,0.9962203456184301,0.9937317496902791,0.0016648654327207344,0.005937842085889618,0.9124406465197528,0.9118890544413211
175,3,stride,,4,4096,6,0.9971564986400888,0.9961536192191238,0.0006543396824722857,0.004039440813964272,0.9443054598478821,0.9434296291188633
175,4,stride,,4,4096,6,0.9955515363985014,0.9926347301863088,0.0017033534016416918,0.004765319628252958,0.8995333403019,0.8974725308242406
175,5,stride,,4,4096,6,0.9973747236996422,0.9964517635470928,0.000600577806999605,0.004964893193573516,0.8816757581971706,0.880461506990575
175,6,stride,,4,4096,6,0.9981380013601537,0.9975043822210915,0.00046000527079121696,0.0041754716759593675,0.9132394300698445,0.9130645181273687
175,7,stride,,4,4096,6,0.9971747814059317,0.9963826637772204,0.0009098493799300268,0.00895846124997964,0.9211164645283155,0.9197404817548795
175,8,stride,,4,4096,6,0.9971041872995176,0.9964727081137916,0.0005628400232535439,0.004501322702102091,0.8818648163079932,0.8811960354569225
175,9,stride,,4,4096,6,0.9967655385041881,0.9935056515734132,0.0016413911209552199,0.0063379088345148675,0.8442093482777074,0.8426684752348474
200,2,stride,,4,4096,6,0.9955147996665482,0.9927444951504198,0.002002934666069212,0.005566175814844125,0.9064280429424746,0.9050368422620324
200,3,stride,,4,4096,6,0.9960140474701592,0.9947388159783419,0.00091369374221403,0.004364631608344401,0.9174568976059013,0.9161959137699225
200,4,stride,,4,4096,6,0.9956931558896254,0.9934384141970725,0.0014811834704952626,0.004486853127673385,0.869943096715633,0.8683764292715018
200,5,stride,,4,4096,6,0.9962587680909935,0.9946231742426724,0.000904035639687331,0.006142651845038927,0.8365306368113706,0.8352512395151356
200,6,stride,,4,4096,6,0.9972703321137183,0.9951110572276992,0.000996835105255199,0.004658847329361985,0.8814399981896804,0.8809882971609369
200,7,stride,,4,4096,6,0.9967740619006985,0.9941235756274392,0.0014176241055051883,0.009267882822011112,0.902244788353184,0.8994717282875947
200,8,stride,,4,4096,6,0.9974443242558673,0.9966952757688516,0.0005668220691206834,0.003928861929428725,0.8240075200541915,0.8231080663852284
200,9,stride,,4,4096,6,0.9958292605601174,0.9914481394698621,0.0022463437195617323,0.007324938806353505,0.8045607633276884,0.8032400460959994
225,2,stride,,4,4096,6,0.9954811053444171,0.9925670073106119,0.0019644669172243392,0.005099112703949989,0.8752020706843285,0.8741736884862463
225,3,stride,,4,4096,6,0.9940752184565579,0.9928431072056962,0.0011940939142158857,0.00536049458363171,0.8694274518997449,0.8668066884125438
225,4,stride,,4,4096,6,0.9937083658761651,0.9921411296271357,0.0015740405821345485,0.005259601270760565,0.8436309906077856,0.8413865649079537
225,5,stride,,4,4096,6,0.9953714927411408,0.9935693331449675,0.0011383857109051104,0.00640016103079688,0.7878629566485611,0.7861005437822042
225,6,stride,,4,4096,6,0.9969557023806884,0.9951329603344866,0.0008795592010980636,0.004371090815463201,0.8535041501820672,0.8521212753845595
225,7,stride,,4,4096,6,0.996751447631167,0.9942502358833141,0.0015877208666170485,0.007419029895269584,0.8804463335960048,0.8788892072045099
225,8,stride,,4,4096,6,0.9956274450623153,0.9943710853214078,0.0010526608084890816,0.005079772451911897,0.8003669297362086,0.7990682462235952
225,9,stride,,4,4096,6,0.9958830326572322,0.9922181020903175,0.002073794775745139,0.007211675729953034,0.7600917313313785,0.7590170272696166
250,2,stride,,4,4096,6,0.9954767091971203,0.9917156785954861,0.0018881197809965057,0.007687876629764408,0.8566370415620232,0.8557700642072623
