run,layer,pair,unit_x,unit_y,rho,c_x,c_y,kappa,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
a,2,tail-strided,u0,u1,0.9408215344304169,0.8709669878819853,0.9105509617085962,0.9181197952636093,0.7363865122224559,0.9696776744204809,0.0
a,2,tail-spread,u0,u0,0.9095174965340704,0.8709669878819853,0.9215903578390223,0.9394296848989057,0.8087652817377285,1.0142731638327043,0.0
a,2,tail-spread,u0,u1,0.9182383961455609,0.8709669878819853,0.9213417741922233,0.9348318577967487,0.7843775997434251,0.983449491023365,0.0
a,2,strided-spread,u1,u0,0.9767061952829025,0.9105509617085962,0.9215903578390223,0.9269133103363988,0.7918452807412459,0.9717692619009934,0.0
a,2,strided-spread,u1,u1,0.984246574065302,0.9105509617085962,0.9213417741922233,0.9232313731241241,0.7739507540150365,0.9702119670040762,0.0
a,2,identity:tail,u0,,0.9360028745499396,0.8709669878819853,nan,0.93051742848629,nan,nan,nan
a,2,identity:strided,u1,,1.005148125087537,0.9105509617085962,nan,0.90588734036518,nan,nan,nan
a,2,identity:spread,u0,,0.9717037428665973,0.9215903578390223,nan,0.948427300609405,nan,nan,nan
a,3,tail-strided,u0,u1,0.7376976120442519,0.5627567621963986,0.6712540071173743,0.7155905850389913,0.5259271306269089,0.850094117399384,0.0
a,3,tail-spread,u0,u0,0.5494157202885951,0.5627567621963986,0.7059124425010584,0.8503255698100015,0.670393646672667,1.0226738825723662,0.0
a,3,tail-spread,u0,u1,0.46208896937571575,0.5627567621963986,0.5746132271687291,0.83653741468054,0.6253696503919879,1.1073317246437961,0.0007
a,3,strided-spread,u1,u0,0.8310339035902894,0.6712540071173743,0.7059124425010584,0.7551087331285526,0.5930365231140265,0.8622585374945875,0.0
a,3,strided-spread,u1,u1,0.7968444043895677,0.6712540071173743,0.5746132271687291,0.6957360248041318,0.5018000006176645,0.8269566588542779,0.0
a,3,identity:tail,u0,,0.6983616117635838,0.5627567621963986,nan,0.8058243075177913,nan,nan,nan
a,3,identity:strided,u1,,1.0563261204769436,0.6712540071173743,nan,0.6354609567112619,nan,nan,nan
a,3,identity:spread,u0,,0.7867209638014706,0.7059124425010584,nan,0.8972843930458624,nan,nan,nan
a,4,tail-strided,u0,u1,0.5714389916003532,0.36689681925454315,0.5866386327304511,0.613722955630766,0.3501767677951601,0.7960793455475187,0.0024
a,4,tail-spread,u0,u0,0.39718960269979153,0.36689681925454315,0.5873372162269244,0.7365747006405456,0.4480028112933683,1.061095599841967,0.0068
a,4,tail-spread,u0,u1,0.31671501663363033,0.36689681925454315,0.47194786134896255,0.7394088713447909,0.43524804415466056,1.3647938831467585,0.0318
a,4,strided-spread,u1,u0,0.7592758750240696,0.5866386327304511,0.5873372162269244,0.673642206414323,0.4126961667780111,0.857553205240449,0.0
a,4,strided-spread,u1,u1,0.7259077212319236,0.5866386327304511,0.47194786134896255,0.6175777389783504,0.3132585471520863,0.8301101479254502,0.0018
a,4,identity:tail,u0,,0.5467440564035925,0.36689681925454315,nan,0.6710577187943115,nan,nan,nan
a,4,identity:strided,u1,,1.0451672677691288,0.5866386327304511,nan,0.5612868397444265,nan,nan,nan
a,4,identity:spread,u0,,0.7264635034397088,0.5873372162269244,nan,0.8084882632726355,nan,nan,nan
a,5,tail-strided,u0,u1,0.802133977082855,0.7286947287976646,0.6654500170049424,0.7775119593136242,0.5972063163551555,0.8956749829724007,0.0
a,5,tail-spread,u0,u0,0.3906396497781815,0.7286947287976646,0.4474099366297271,0.91356081993187,0.7461266447355294,1.3122646877734234,0.0066
a,5,tail-spread,u0,u1,0.3578457655180602,0.7286947287976646,0.3984260351816918,0.9007385031710046,0.697080152909815,1.3793606128933582,0.0123
a,5,strided-spread,u1,u0,0.6003110396874076,0.6654500170049424,0.4474099366297271,0.7042427225698175,0.4552997931789874,0.8487041588210422,0.0006
a,5,strided-spread,u1,u1,0.5974249646161846,0.6654500170049424,0.3984260351816918,0.6661773948149277,0.38969773261932134,0.8291788835227715,0.0022
a,5,identity:tail,u0,,0.72247604572531,0.7286947287976646,nan,1.0086074591803407,nan,nan,nan
a,5,identity:strided,u1,,1.1102568477236843,0.6654500170049424,nan,0.5993658299602369,nan,nan,nan
a,5,identity:spread,u0,,0.5406956425607297,0.4474099366297271,nan,0.8274709492956106,nan,nan,nan
a,6,tail-strided,u0,u1,0.6963369601029745,0.6771762163230399,0.6804151448584161,0.8134448435075969,0.7054838014558158,0.922753108036615,0.0
a,6,tail-spread,u0,u0,0.6111579181660954,0.6771762163230399,0.7868612374191232,0.933734063487655,0.860796431053618,1.0291422915131196,0.0
a,6,tail-spread,u0,u1,0.6401493172280033,0.6771762163230399,0.7736577649563404,0.9046584608878131,0.8277710896324905,0.987438213135231,0.0
a,6,strided-spread,u1,u0,0.770979537516657,0.6804151448584161,0.7868612374191232,0.8333254313221139,0.7587543525554059,0.9013378829644644,0.0
a,6,strided-spread,u1,u1,0.8782982082733578,0.6804151448584161,0.7736577649563404,0.7741772978726025,0.6711138427418356,0.860495042644728,0.0
a,6,identity:tail,u0,,0.7429592929222278,0.6771762163230399,nan,0.9114580338036448,nan,nan,nan
a,6,identity:strided,u1,,0.9372477963955776,0.6804151448584161,nan,0.7259714533073579,nan,nan,nan
a,6,identity:spread,u0,,0.8225994667383086,0.7868612374191232,nan,0.9565545192231996,nan,nan,nan
a,7,tail-strided,u0,u1,0.6741508506772755,0.8019577450448226,0.7831911023094977,0.9652305787518267,0.8826943656968166,1.0355685063312887,0.0
a,7,tail-spread,u0,u0,0.7214928937449101,0.8019577450448226,0.8320680235333718,0.9616989241924333,0.899857983130372,1.0279477169635172,0.0
a,7,tail-spread,u0,u1,0.6962592355704219,0.8019577450448226,0.8134358709255061,0.9679477587049357,0.8981744907345445,1.0371824571219386,0.0
a,7,strided-spread,u1,u0,0.8414789303423484,0.7831911023094977,0.8320680235333718,0.8800182231990986,0.8123957498143518,0.9381178102002762,0.0
a,7,strided-spread,u1,u1,0.9123792033036243,0.7831911023094977,0.8134358709255061,0.8356181100765148,0.7629314531096107,0.9062512841574258,0.0
